0.1_100,0.1_200,0.1_300,0.1_400,0.1_500,0.1_600,0.1_700,0.1_800,0.1_900,0.1_1000,0.2_100,0.2_200,0.2_300,0.2_400,0.2_500,0.2_600,0.2_700,0.2_800,0.2_900,0.2_1000,0.3_100,0.3_200,0.3_300,0.3_400,0.3_500,0.3_600,0.3_700,0.3_800,0.3_900,0.3_1000,0.4_100,0.4_200,0.4_300,0.4_400,0.4_500,0.4_600,0.4_700,0.4_800,0.4_900,0.4_1000,0.5_100,0.5_200,0.5_300,0.5_400,0.5_500,0.5_600,0.5_700,0.5_800,0.5_900,0.5_1000,0.6_100,0.6_200,0.6_300,0.6_400,0.6_500,0.6_600,0.6_700,0.6_800,0.6_900,0.6_1000,0.7_100,0.7_200,0.7_300,0.7_400,0.7_500,0.7_600,0.7_700,0.7_800,0.7_900,0.7_1000,0.8_100,0.8_200,0.8_300,0.8_400,0.8_500,0.8_600,0.8_700,0.8_800,0.8_900,0.8_1000,0.9_100,0.9_200,0.9_300,0.9_400,0.9_500,0.9_600,0.9_700,0.9_800,0.9_900,0.9_1000,1.0_100,1.0_200,1.0_300,1.0_400,1.0_500,1.0_600,1.0_700,1.0_800,1.0_900,1.0_1000,load
40265893.46230725,40227292.66644201,40094175.88693981,40163309.41520488,40358420.03150718,40368518.87592004,40311760.442766234,40379997.99460817,40310241.428550504,40207823.99090966,40310026.54419731,40257230.49397926,40276272.98985938,40370561.16280496,40211257.26389968,40403140.40761169,40403672.99861991,40216521.45076512,40341571.90593601,40265633.67975461,40735077.04327054,40637823.8180097,40595595.82986005,40743782.26127451,40779658.08677936,40805664.3948499,40683264.67091136,40708671.88768231,40718337.22173841,40765891.56921381,41391345.35755729,41334604.63944274,41320969.32318625,41340030.75523341,41533526.42015473,41400195.87298433,41497263.09809612,41313583.48573577,41388896.126010135,41436371.99682208,42234530.221733995,42194818.02817117,42092655.75447059,42035070.844078854,42114948.173299305,42057090.27692603,42147241.670158684,42062651.02391168,42069561.319231175,42134875.746995434,42650994.865579724,42663613.119008824,42487554.13194442,42715372.36337994,42679105.100280575,42687172.365408465,42653788.58323898,42591738.97528154,42603021.05160944,42570224.643633366,42943452.66488599,42733835.58770297,42939957.684857704,43003332.120033026,42977947.3590058,42976924.81047878,42842368.0416139,42941632.74610877,42977050.16123437,42982696.468071386,43072451.37302603,42880053.078769796,42923226.21704865,43105241.83754789,43136948.26373324,43015973.60356239,42873919.987445176,42999998.516087145,42965703.0350105,43068176.84961172,42966131.7346756,42985174.20462386,42966327.41593789,43067481.50696461,42953883.662845686,43161109.94375488,42995873.55642375,43079127.56702606,43039808.96456903,42934329.16388003,43043843.834161535,43010971.0311535,42949923.40053904,43010294.01467464,42900478.716468245,42893269.88800512,42938016.33808427,43046198.59248579,43007478.57142625,42876678.43424849,Coast
1462038.3099352748,1463440.6081220943,1464195.2538901828,1464719.465270989,1461893.9823507494,1466843.7276863176,1463297.396136073,1461854.8055380567,1460396.4767125354,1457294.1107039037,1458200.9815574642,1457782.603238486,1463515.8748248846,1461197.471904076,1459373.0656732302,1460167.0713953974,1465187.5246880108,1463572.486464285,1463117.5112498272,1461614.1931444874,1464938.519214679,1467832.6651696644,1465375.277055124,1463519.7562062263,1466737.3458692064,1467348.4203453232,1469404.261382965,1472136.1803269966,1467427.5174402827,1468188.8809275378,1473393.1881855195,1474579.2166350135,1474741.7720751213,1471977.9932823132,1472797.369931421,1471023.701217772,1467634.7990501798,1471177.6786018729,1470548.3254295941,1471134.9675518582,1479843.0397380136,1474080.3864343134,1475025.3460293126,1476751.1104128826,1477774.1306629868,1474830.3781710693,1475134.1467673453,1475402.0554421523,1478329.7980185829,1476719.8000994995,1485050.6417480204,1484285.3172746624,1483676.5347061094,1480977.597852611,1480971.525606765,1477189.5368321952,1479315.6423864851,1485348.2480601715,1483197.6720530484,1484049.7684836662,1485561.9832779563,1493164.4864248752,1491522.0858651279,1489076.7423803052,1490269.2807781512,1490369.3087685772,1488265.7354136938,1490480.5996767809,1486694.5860331028,1487762.8893954104,1491726.4618810776,1489030.1624048655,1493208.9522798823,1493692.7375427587,1489591.0318398643,1496025.8378986542,1495005.5301390397,1489364.3684890696,1491017.0029354538,1494786.049932367,1492767.352284416,1491493.944380662,1491248.8119131543,1493079.7004147798,1489836.9164242758,1490068.45798347,1494968.8823206362,1492155.2724140275,1491653.0881853623,1493918.4355574597,1495422.120011989,1494899.5160422951,1493253.1520989016,1491408.0879901024,1493284.3679636405,1489937.8499685032,1491636.4518773933,1495467.7010357215,1495173.2832914903,1490813.8803390518,East
1487974.7435006534,1486277.0176713944,1482635.3160161807,1484398.5390754144,1484285.270141417,1484387.298132779,1484779.283249536,1484749.175712734,1484691.7181281145,1486268.9360999435,1482420.9686672792,1480851.3869079864,1486418.4274930344,1479850.1565613411,1480797.7779791697,1479209.9626151812,1483262.5238279824,1478922.2101007095,1481210.3777317016,1480954.5658815003,1477559.069228213,1479534.1452310102,1482464.213415447,1481090.4531278764,1480762.3686895913,1478680.6463752198,1482409.9326993665,1477600.1707778636,1474958.1535760975,1477594.4649306491,1474715.7268857206,1475524.4218725013,1476064.5091315713,1476076.927332395,1473368.4759183791,1476522.2621621727,1475875.2942395075,1473852.0175490617,1472916.8227222916,1473816.4974733707,1476436.3819414752,1476188.4358282331,1479570.8177027877,1477513.0617471384,1478268.333781451,1476179.9340398966,1475222.9398960907,1478756.3271407583,1479255.9347985222,1479548.7512793662,1477364.0081200935,1477281.8559080719,1475890.0788087726,1476050.0785906813,1474549.650379945,1476543.9759559412,1480246.8010616833,1474091.7341916359,1473909.5978755157,1478501.5202287661,1474903.7551907073,1480057.463626209,1476766.0751800833,1478534.0495502208,1478318.2156689921,1477293.4907433428,1472667.6692060425,1473014.449827008,1475436.4349657756,1479019.5827028102,1471484.9306029303,1472127.6430839929,1474067.5192181312,1471688.2600402401,1475160.43982215,1479832.253186477,1477479.1140355507,1477956.243936847,1473236.1664046566,1473106.8412576236,1475136.5788749927,1472551.9280420216,1473232.3549143106,1473278.0929804686,1472965.0395556933,1474287.484290116,1471446.6218372001,1474694.8567710416,1475149.8892145678,1473026.8182291582,1473714.144325719,1470732.8000794272,1476475.9346678376,1475342.0431958174,1477196.8047755258,1474849.3154257978,1472917.2811531737,1475613.103316731,1479095.2905765697,1474382.8952579491,Far_West
1286369.4947426606,1302921.4435453534,1309926.0011474357,1311832.8985317745,1313058.3409450876,1314136.7537907101,1316694.954108257,1315753.2084792564,1315486.4076454875,1319905.6309008873,1298642.8176520257,1315022.2521386417,1313656.8456691161,1317423.4333449947,1315111.7632514827,1319474.911005703,1320873.9214318166,1323292.6826195763,1319448.0807856787,1333638.7850262185,1304807.5949203647,1317778.2384964798,1320383.4995474904,1319111.6919439607,1324069.8632638264,1328453.3453079078,1324488.5442327778,1323848.4349278798,1324530.4986110912,1326258.9873059017,1307588.6593617788,1321934.6294432203,1324312.0282400788,1327564.0463629735,1328005.6039014098,1330507.1505300053,1330824.1788731935,1328628.8746182225,1332236.003250458,1331565.1139792309,1308284.3291777144,1322817.8695729112,1327543.6650109806,1329191.2228896937,1329278.647308455,1328262.820147641,1329083.4583972194,1330243.3766115927,1332881.902597996,1331964.067436488,1332020.2588619627,1332569.6541063904,1333791.1306752788,1332904.5106898488,1330589.1738384354,1336320.5553081792,1333615.3995701317,1334762.3030739613,1334854.8227527807,1335255.521030195,1329702.3237538238,1333420.6406900873,1335414.1382857068,1333207.2078915832,1336324.748162834,1335234.291402419,1336064.761523183,1335836.0096471612,1337279.961780128,1334795.8092799352,1334180.3795263486,1338858.540531444,1336717.0557452578,1338276.1320759116,1339547.5020177097,1334334.999768896,1335577.3961646154,1336744.5143529798,1337688.0631739888,1338890.1923813901,1335734.6626247817,1340659.6263512787,1337765.544761298,1337570.6849592063,1336575.431033765,1338458.314966243,1342681.2068654904,1342912.3077647316,1340175.2646791537,1338040.4392919382,1338227.6686619439,1338568.4813250536,1339498.2472214631,1338991.5479989583,1338292.3138567596,1337918.0541466044,1338813.2887777134,1339711.7039747925,1340313.1681713187,1339122.9815910188,North
77072072.22812727,76870915.84640369,76803936.5693376,77037126.62300216,77098435.55253482,77084647.54923753,76963058.38731611,76969721.3296211,76840556.35162622,76952350.92040126,76485663.01953347,76492941.55454355,76588358.68688317,76724125.46187226,76701253.75641747,76732464.37110254,76511574.2071701,76604187.24091376,76490594.26743045,76611369.3444011,76602750.24566226,76991038.2678607,76838698.92028892,76874562.75962989,76872033.94002979,77004651.57301027,76827755.71281004,77079383.02254628,76929087.417862,76960046.54049064,77521259.0606643,77817578.34861594,77711290.337334,77678794.35518256,77686800.03586255,77520470.42990707,77521250.93001352,77723701.22956891,77537097.19341512,77576260.97270396,78338678.86488913,78272087.04137939,78389490.7538826,78301384.60724111,78478053.629839,78323403.67624784,78295817.69958542,78290648.69950952,78462761.6935918,78423867.75011617,78617139.84089524,78838915.79077995,78671207.83581315,79103562.06111433,78819640.54035778,78900875.98936644,78856155.33428532,78702870.97052303,78671472.12511668,78768278.33989888,78898022.65616535,78956898.51429896,79188175.43317246,79030711.00420752,79091336.35332471,79062428.4056371,78967421.82694931,78975312.33606534,78937673.86399154,79079407.9100782,78926035.21627353,78849742.73583211,79265854.35232744,79070977.34301405,78933237.01778086,79086064.20891538,79216126.23649679,78919575.23425819,79000558.23613605,79053392.51308514,78958668.02286543,79040496.64568894,79211263.63382655,78990814.7184575,79207153.71455589,79048901.14083098,79054218.85462996,79192854.47691835,79078461.22862491,79186291.29855923,78960963.5220177,79246604.30636583,79123808.70524892,78828791.06214832,79002740.85797979,79021446.36126766,79052923.50526117,78947070.39107783,79186169.36105423,79128767.29638337,North_Central
4278780.044456059,4325772.7172992695,4341180.471477746,4342217.857068709,4349593.011992175,4346182.828186444,4336979.805000818,4352070.386076528,4331637.427058654,4335918.992229654,4311783.474860432,4334849.170625162,4316477.194812408,4343465.675162441,4342928.359109363,4333426.011814346,4342928.341648965,4349364.543123558,4339191.524992625,4339235.779462968,4318967.141718207,4313237.233515844,4324427.220651349,4316278.321344981,4320843.809639797,4307211.712250131,4307399.348598322,4314299.094927611,4305321.829633977,4306871.230737542,4296381.7377642365,4301317.818976738,4286448.306094563,4301333.674847185,4296557.402194122,4293239.06160478,4295113.956386073,4305907.454297257,4295208.131280551,4280225.830544355,4293089.871232375,4292754.214509197,4295002.690508945,4287602.25940952,4296632.38978566,4292772.709157396,4288954.191838148,4284807.152086219,4280118.1763283415,4288308.458698205,4296442.367928541,4302292.387348374,4299679.128852098,4291192.311602627,4287314.977090795,4295002.616388168,4298588.093725485,4298079.514152035,4298868.637761352,4300823.136859298,4317403.517272587,4312388.649795657,4311229.299444045,4311537.882390045,4318829.715901844,4293343.921220051,4321963.923974699,4306717.588710676,4314861.236533449,4310217.499754054,4324822.576725709,4302696.044223492,4325030.925108627,4309302.759291599,4310705.430217284,4323839.844388731,4317674.808823174,4314170.703755099,4318513.216202941,4313507.110682126,4317020.247439038,4326435.579646411,4327169.344328665,4320153.6363997385,4315618.216259594,4333738.125426117,4323463.829795831,4322454.325732097,4322670.7414606875,4329054.05218553,4321956.8850998515,4321630.423112454,4325556.434423716,4318927.440111547,4336913.443247406,4326068.895097479,4326027.213419447,4327470.769745989,4320158.525832854,4321893.657476696,South
17337775.257357143,17362232.188734416,17294928.43006878,17358321.95641157,17345068.89132518,17346896.746250227,17375857.125218756,17341552.126739904,17314639.891126014,17320316.91054108,17302650.851435572,17226742.338698205,17271696.944737572,17277150.255618423,17230766.28669341,17281497.64248284,17298913.17826344,17253656.394307356,17302325.376824412,17277408.0619473,17338741.764616314,17378810.973854356,17336763.903978348,17340909.98082318,17301489.70316357,17387794.50980296,17355148.32597545,17358055.03764282,17400427.967117686,17364524.08612301,17366774.013142183,17403300.65808546,17380126.521621495,17411108.11808843,17411839.24458378,17395354.848696835,17417859.963835023,17440678.580458008,17390382.130482513,17411413.629432533,17404188.882503152,17456948.173266906,17404353.332011558,17379357.662860163,17420898.94919618,17374682.605955802,17406579.346681654,17432809.35951656,17389557.697094243,17416016.54535644,17383347.07807988,17361102.55359962,17368691.089942347,17412903.01029534,17353224.19451935,17372792.58074794,17365036.845412955,17377560.718771074,17382636.338115897,17367168.549517807,17341324.416137256,17411258.598744076,17366906.424060524,17395520.623878803,17410628.688914336,17369963.704791725,17385355.886409372,17354562.444138553,17389649.60141665,17327327.84353394,17397729.081040975,17351452.354470998,17383264.83653521,17330315.177079946,17374628.217938505,17312212.877200328,17384220.635810174,17322786.20601552,17347758.254036177,17342201.4187479,17372829.57070016,17373278.728513584,17360298.63548683,17414631.760655336,17352024.082244173,17416479.963125028,17397855.853701007,17414944.080156047,17352975.236052662,17332210.70078679,17379340.78927354,17405816.027836394,17368418.241890013,17374735.675451662,17373517.32958572,17304150.488488533,17342202.786985587,17372073.689680275,17331849.530503083,17397521.51753565,South_Central
1722277.4494337973,1727546.799092389,1729732.9963208805,1732666.514366234,1734516.7473161267,1733818.5639374275,1739450.5185922605,1742018.0427142093,1743056.5708677883,1742414.9367762594,1778590.8679944573,1778323.399046862,1776271.862061018,1779352.6840762326,1780096.7566287876,1778840.6986154686,1779978.165419148,1776713.075629877,1779260.2435830776,1779728.813018543,1799676.314638133,1802566.4785667432,1802338.8966736803,1796443.7581565042,1800072.8516178466,1800896.8622158917,1796963.7746577105,1801731.057676344,1802159.6461674378,1802612.569786344,1803700.9081035492,1806700.2956464512,1805734.0353225912,1806155.160501972,1806055.607674414,1803255.4666367155,1805362.6238207233,1804447.3637926937,1805838.6745199524,1807076.9758227917,1801486.7761055077,1799838.3372210984,1801079.1603049624,1804722.300101156,1802889.1664179084,1800405.0578017298,1804352.1774948547,1809018.8714966448,1803820.7597811944,1805666.2365260087,1808102.5031355731,1805134.4964879134,1803277.4435931074,1806114.2339308783,1805589.8771825589,1802437.6741582877,1805692.545692106,1802284.1483050967,1803457.800377269,1804336.791844356,1807136.1317132784,1803282.1260442357,1809171.935022954,1807343.4260735558,1806885.5651474071,1802423.2457048728,1806884.3398472392,1807432.8736420216,1806074.0120420787,1800481.4625548148,1806521.9715643586,1804423.9645752637,1804205.7532544695,1805034.5448455538,1805163.9437572644,1809476.4877167419,1809468.5851290186,1807236.451213487,1803505.6457312126,1803980.418340062,1805188.8303257339,1806601.0421912782,1802869.2272917063,1808002.4439697808,1808371.8890993944,1803981.2959005742,1803405.722369571,1804676.1498458416,1804552.9581339222,1806750.717579532,1804778.829319991,1803668.0459398448,1804183.847164805,1800794.553160276,1806461.9405559907,1808137.6252176857,1802391.110418914,1806939.639305126,1802189.817036532,1800440.2215722334,West
