ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,wind
34.76045637446434,34.77520976020384,34.76424613872564,34.76392541954445,34.775143611569945,34.773992921799326,34.77181557907205,34.76150377706863,34.766034918578335,Aguayo Wind
123.9511278874898,123.9612838869228,123.94961111372687,123.94037227036979,123.94357804691928,123.90995498394561,123.96603347341517,123.93362092075027,123.95518580970038,Ajax Wind
49.01197032932167,48.99595756065574,48.998480411509036,48.99541489954015,49.00498197790446,49.01063324336452,49.00070655128215,49.00993631485384,49.00655641726731,Amazon Wind Farm Texas
16.57662384189172,16.579637529286632,16.57615408637908,16.581170279111227,16.58048598740108,16.58134260458406,16.579436077495075,16.580583014604244,16.578248329252315,Anacacho Wind Farm
34.42783611110662,34.437354045325236,34.4288554973776,34.43111395772687,34.4362171520252,34.43130241630222,34.42603135246568,34.43455380395946,34.43294970210815,Appaloosa Run Renewable Energy Project
36.269882043175805,36.27262737334646,36.272760121923795,36.27318912639273,36.27185310301872,36.26805420911447,36.2820769232605,36.272392249069156,36.269750675592825,Aquilla Lake
17.966427980228886,17.970880598491668,17.97064338227754,17.971366314444374,17.964142338507845,17.967003455544194,17.968805906612104,17.96384402237628,17.967814757175404,Aquilla Lake 2 Wind
61.87193221326418,61.866462975772905,61.84736256054863,61.86622578677405,61.884730490880045,61.86075527667513,61.865555381378755,61.870811562367315,61.86686206958323,Armstrong Wind
65.83503231743178,65.84004109901842,65.8458486958877,65.85184221491515,65.84611052502488,65.84034246920105,65.83566347344409,65.83402480312675,65.83995553742568,Azure Sky Wind 1
65.44797302032076,65.4643069857859,65.4660257553278,65.4523775024194,65.46922957728533,65.43753509394945,65.46126622436292,65.45140412579103,65.44525479359854,Azure Sky Wind 2
29.91119249628909,29.915296273404387,29.91897467225284,29.91616475017715,29.915762912834676,29.91505008012473,29.914951948915885,29.921757830533142,29.92233498599918,Baffin
54.92826141488639,54.93062231693515,54.93702076028799,54.919338771943075,54.9212422532775,54.93279482823059,54.92702330441832,54.921309686848545,54.92428431276148,Baird North Wind
36.706470207461116,36.70369361915309,36.708408136290544,36.70303012233293,36.70957630924716,36.70060638683749,36.69881667574594,36.70370967711658,36.707023378395036,Barranca Wind
36.31625110648594,36.30936499718934,36.307945627202066,36.30860494994713,36.30776312358925,36.31535611555808,36.31562033301926,36.31325658799188,36.32117649763292,Barranca Wind II
35.12138159730903,35.11854958980387,35.12109367722374,35.13205087657061,35.1153824973361,35.123905010008556,35.125433503143896,35.13202702405252,35.123237954732154,Barrow Ranch
21.403774940971587,21.404323791853237,21.40692656835047,21.40318197272239,21.40336289416926,21.401400654160582,21.399587802424975,21.404818702895227,21.403147701242485,Barton Chapel Wind Farm
38.54388669120527,38.55329182296807,38.54911364090452,38.549722742761524,38.550221607153134,38.549254565750935,38.55428550470856,38.552691198680805,38.554827358295796,Bearkat I
55.82236470626417,55.824320077150375,55.81331418100706,55.82984004213612,55.82492778594595,55.82992742516255,55.82877301890754,55.81890992311103,55.8356407394406,Bethel
70.55002009184496,70.55647344254542,70.55468119829894,70.56660709392315,70.58367870330375,70.5644699240737,70.57810986031454,70.57901940106584,70.56225574476909,Big Sampson Wind
7.110194445007551,7.108633595000533,7.110224688749018,7.110010251478442,7.1114213304713445,7.109419662560696,7.1104845721413446,7.109501261252455,7.108084937813251,Big Spring Wind Farm
37.658756231247594,37.666951375374985,37.65568401763065,37.6582070500286,37.65395467822073,37.65290545773293,37.64863076765548,37.65844360060286,37.65614716370412,Black Jack Creek Wind
48.69758179831232,48.703962822955326,48.687661402170725,48.6952404856276,48.7027365457378,48.698251477308204,48.688724104709294,48.69690371531611,48.68930735213923,Blanco Canyon Wind
26.280292674329814,26.29114457794075,26.283980980057812,26.29240781915115,26.28834426326261,26.288630024700698,26.284359449492175,26.290687513515326,26.28749362398154,Blue Summit
20.056305481939084,20.056468561430524,20.060167114451065,20.05789769232865,20.05843237914288,20.05655969175566,20.052774530269758,20.057794150485854,20.061795037060392,Blue Summit II
39.25350925107575,39.250669701892114,39.2663563798775,39.26543468408738,39.25636979957272,39.24352547041806,39.26468013747259,39.253453249825135,39.2520963448457,Blue Summit Wind III
1.9229961242517508,1.9222174703490484,1.9229778359223468,1.9226738503464285,1.9227910083628472,1.9222596768863511,1.9223051003103218,1.9224232577268436,1.9230034824368256,Blue Summit repower
28.04674088321158,28.04356471772789,28.044590439813835,28.044369770234358,28.043256034624065,28.046398353539153,28.049987783636293,28.043035656107588,28.04486396212862,Bobcat Bluff
2.1903770635432105,2.1897329223574946,2.189743814273455,2.18960224253152,2.1898921267423,2.189572346193703,2.1894582303294436,2.189469005707628,2.1899137361425955,Bobcat Bluff repower
43.950918032704,43.953312152415286,43.94512305607745,43.95058923710717,43.95125580063427,43.95319802258451,43.9427967984439,43.95237089278532,43.94877117318579,Brazos Wind Ranch
31.323803297304835,31.316951161425514,31.32038221867112,31.31959489520973,31.31792138988184,31.318425295151926,31.32443474571323,31.317532675120543,31.32283744416092,Briscoe
45.08773117331622,45.08484436487075,45.06834710183045,45.09613570803524,45.08581623338655,45.07335197854671,45.07613866408711,45.09440587778762,45.07946301937408,Broadview Energy JN LLC
34.25272105732807,34.25033952248791,34.24963207907848,34.249955583268694,34.245284859103,34.24558627133156,34.2542066259889,34.25351973000948,34.260479522854645,Bruenning's Breeze
16.673432672916977,16.675420708003326,16.673409054194575,16.675700120934003,16.675801940874127,16.67640911968762,16.67555833292674,16.675285114774816,16.671929524312798,Buckthorn
