ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,wind
30757.885876686796,30767.4252576214,30776.694417288723,30769.652945363843,30779.304231573235,30792.914409653353,30781.91871062289,30758.695450858893,30774.01901741101,Aguayo Wind
427909.05617465335,428102.2417708219,428029.754929661,427707.2803613775,427887.64689265215,427920.2053855704,428021.723256557,427688.2885521758,428180.48481242685,Ajax Wind
62887.82429678181,62890.10938620035,62870.15182905014,62832.71386553463,62851.44891129852,62916.471488954994,62871.032098033866,62893.530504979324,62890.12373929526,Amazon Wind Farm Texas
7847.16137719086,7848.326468507009,7840.008154002927,7853.959641450219,7847.641823977153,7851.279900961383,7850.145847303461,7846.507331784559,7849.921062234364,Anacacho Wind Farm
32438.172885398508,32429.586920453097,32431.395844083967,32438.769597219118,32440.713015560897,32423.30942795416,32446.64232028443,32442.46674131627,32450.145683400086,Appaloosa Run Renewable Energy Project
35989.152493526984,35973.85218337336,35989.724244789,35981.77508425311,35986.327488334566,35968.0206147672,36008.79991119087,35987.26236766834,35963.38706509103,Aquilla Lake
8840.874882385586,8845.999110696685,8841.903168581106,8845.206601937416,8837.744097269195,8838.56425325861,8843.03589919492,8840.17371980095,8839.483640267325,Aquilla Lake 2 Wind
124707.48151044417,124675.33863150737,124615.59702919715,124592.55011375473,124660.01611623974,124622.9255341406,124682.75342379084,124721.28993093576,124668.73107596417,Armstrong Wind
115797.17743563846,115802.13753300435,115795.86902840756,115798.82998968363,115755.78033339276,115773.59462327976,115778.98170795426,115738.54489115541,115793.098838081,Azure Sky Wind 1
113957.24386898523,114005.50315386517,113966.8233457015,114021.16675184517,114060.87022077432,113941.1896056248,113948.86138773519,113916.9164912353,113918.46154125495,Azure Sky Wind 2
23170.47432639985,23172.290472757733,23185.42504380977,23168.601334867828,23177.714146526803,23159.13734614767,23188.874408769203,23178.601507749725,23177.79906131575,Baffin
77551.69440727834,77593.66847592645,77624.58929306174,77556.68539394379,77551.4770983892,77568.4265954472,77553.2257924364,77573.25704091434,77586.87451872005,Baird North Wind
37579.17932738335,37601.30726170458,37601.698862610596,37596.116527968225,37609.63164949769,37591.90215632423,37582.09424605834,37621.99689935453,37609.15611111702,Barranca Wind
36861.131199564385,36865.16146453751,36865.42865576732,36839.26197426269,36852.10568255433,36853.81147037212,36858.10514523217,36856.847432533665,36870.24342843193,Barranca Wind II
36341.07923931272,36333.272799268096,36323.32415713542,36359.786995170034,36333.09119536803,36320.850904066574,36337.752652729825,36349.007796721664,36339.82406948968,Barrow Ranch
11994.477304995411,11988.901923346722,11993.253785297795,11990.798237445171,11988.288935169807,11985.255967414321,11979.111368172797,11990.768035773033,11984.524487259465,Barton Chapel Wind Farm
