ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,solar
12177.99866120194,12178.821479302655,12178.783770709888,12191.078303219989,12175.124793104354,9635.457849377552,12193.64005319134,12187.698393335877,12176.616862371979,Bluebonnet Solar
102599.87417937166,102533.09248269044,102607.49426413118,102549.54412729332,102514.33019205247,105374.6346554645,102669.13095989192,102446.25084200405,102468.20801020639,Bravepost Solar
6033.552284699352,6030.6716393303905,6028.985330729554,6029.684559043152,6028.802918237578,6385.72634845467,6032.0400681287065,6036.805051998883,6032.9757001591815,Brightside Solar
46503.37525256036,46445.06788980206,46445.83803412978,46442.19926403192,46456.95702130495,48497.24329798332,46483.97000465797,46380.107528693756,46385.30738113283,Brushy Creek Solar
189704.4074727581,189715.6550136704,190027.70836702577,189766.466663701,189771.10173755852,152814.45025833437,189706.76859779874,189884.32606287,189669.65095642587,Castro Solar
139366.88799119313,139437.89439578197,139254.89586625216,139349.25503540237,139386.1564615749,126628.16294489939,139391.18732028911,139432.9288667255,139319.89925327574,Charbray Solar
9606.92854709132,9610.47017740566,9603.363657769989,9600.76859775131,9609.733873504141,9650.889637963463,9603.094529146507,9603.7720440107,9610.072387297745,Chatee Solar
7657.311154810081,7660.112895802938,7674.573802088566,7669.482944772569,7660.724334245177,6077.738187857909,7669.786216264669,7670.9004625114085,7671.847784039918,Citrine Solar
70483.97374876396,70513.42439539667,70470.35073091525,70522.16397717611,70509.64688861866,72834.40674822431,70535.70964870481,70421.90292592422,70463.51201948906,Concho Valley Solar
61997.539146145224,62062.341519185706,62052.30808430641,62065.879615470294,62028.99917563604,54227.989538647766,62096.045961325246,62052.583962839766,62105.383554588305,Coniglio Solar
93204.05013111452,93125.50429912361,93164.00599768196,93194.8603835396,93132.91679795565,97747.1310780573,93117.88748189446,93192.77919247856,93102.72380550427,Corazon Solar
70570.07848709087,70636.5044985854,70624.35285417149,70655.78800052733,70612.53589299835,66838.33415031194,70591.77648609196,70613.8099625904,70565.1711648832,Cottonwood Bayou
263135.19134851877,263322.8154353907,263154.1018962149,263314.09410295787,263017.20678613766,209211.74862529532,263350.4353336673,263508.574926615,263072.64609133295,County Line Solar
555807.4686191791,555996.364345033,555875.1266585927,555593.7897248175,555301.6743442261,496701.01601642,555680.9075320921,555121.4772824207,555970.8041086546,Crowded Star Solar
239112.0359330152,238992.01203821498,238940.138307209,238793.73182818544,238895.12205437347,223526.69190202266,239100.83918479728,238798.34241873273,238696.91903960778,Cutlass Solar
