0.0_0.0,0.0_0.05,0.0_0.1,0.0_0.2,0.0_0.3,0.0_0.4,0.0_0.5,0.0_0.6,0.0_0.7,0.0_0.8,0.0_0.9,0.0_1.0,0.05_0.0,0.05_0.05,0.05_0.1,0.05_0.2,0.05_0.3,0.05_0.4,0.05_0.5,0.05_0.6,0.05_0.7,0.05_0.8,0.05_0.9,0.05_1.0,0.1_0.0,0.1_0.05,0.1_0.1,0.1_0.2,0.1_0.3,0.1_0.4,0.1_0.5,0.1_0.6,0.1_0.7,0.1_0.8,0.1_0.9,0.1_1.0,0.2_0.0,0.2_0.05,0.2_0.1,0.2_0.2,0.2_0.3,0.2_0.4,0.2_0.5,0.2_0.6,0.2_0.7,0.2_0.8,0.2_0.9,0.2_1.0,0.3_0.0,0.3_0.05,0.3_0.1,0.3_0.2,0.3_0.3,0.3_0.4,0.3_0.5,0.3_0.6,0.3_0.7,0.3_0.8,0.3_0.9,0.3_1.0,0.4_0.0,0.4_0.05,0.4_0.1,0.4_0.2,0.4_0.3,0.4_0.4,0.4_0.5,0.4_0.6,0.4_0.7,0.4_0.8,0.4_0.9,0.4_1.0,0.5_0.0,0.5_0.05,0.5_0.1,0.5_0.2,0.5_0.3,0.5_0.4,0.5_0.5,0.5_0.6,0.5_0.7,0.5_0.8,0.5_0.9,0.5_1.0,0.6_0.0,0.6_0.05,0.6_0.1,0.6_0.2,0.6_0.3,0.6_0.4,0.6_0.5,0.6_0.6,0.6_0.7,0.6_0.8,0.6_0.9,0.6_1.0,0.7_0.0,0.7_0.05,0.7_0.1,0.7_0.2,0.7_0.3,0.7_0.4,0.7_0.5,0.7_0.6,0.7_0.7,0.7_0.8,0.7_0.9,0.7_1.0,0.8_0.0,0.8_0.05,0.8_0.1,0.8_0.2,0.8_0.3,0.8_0.4,0.8_0.5,0.8_0.6,0.8_0.7,0.8_0.8,0.8_0.9,0.8_1.0,0.9_0.0,0.9_0.05,0.9_0.1,0.9_0.2,0.9_0.3,0.9_0.4,0.9_0.5,0.9_0.6,0.9_0.7,0.9_0.8,0.9_0.9,0.9_1.0,1.0_0.0,1.0_0.05,1.0_0.1,1.0_0.2,1.0_0.3,1.0_0.4,1.0_0.5,1.0_0.6,1.0_0.7,1.0_0.8,1.0_0.9,1.0_1.0,load
39574357.63200671,40181090.94257783,41307839.28929226,44001897.59762237,46978872.75577097,50314339.20560492,53513968.945800275,56380856.589285836,58711479.059637286,60551471.04698002,61640522.395983525,61737522.7187058,39330727.00153794,40343275.99782506,41240664.657066524,43963514.78252175,47111095.27722712,50292243.236265406,53519009.13187365,56424570.65175782,58670808.07528597,60538616.36454532,61613522.56516496,61787586.80378785,39456843.909581885,40268219.50129314,41280947.092786886,43695117.890983894,46910906.18361114,50398240.80609026,53455441.683522455,56332959.880398735,58714393.43573413,60536843.581416085,61600112.53106379,61775900.27957696,39435737.16731364,40243891.51698431,41268937.20955241,43898536.1203844,47040665.65741275,50267761.48366452,53447805.53077882,56410014.759522915,58712325.42115786,60582322.36940701,61548984.85556571,61736044.154799394,39556518.053936325,40143025.39927414,41263873.08278957,43996575.5351003,47121523.55682617,50405004.62064817,53415950.58867725,56356372.69393038,58745764.00782251,60534878.62864057,61568239.89026307,61823754.59673204,39312467.5802492,40234848.58602772,41275202.3225212,44031968.71054291,46989785.87463649,50410304.717648625,53530278.767058,56361339.28661272,58712217.85995681,60567157.002298035,61588407.30629341,61734784.419246085,39467911.73473232,40186787.448347814,41328728.44088069,44040945.99094326,47119848.83811645,50445837.65526281,53501305.91562609,56279466.127257116,58739554.868324,60565981.41961736,61617746.63259757,61788541.09290899,39357031.31962384,40211022.561776675,41150456.484217145,43953024.353897944,47100537.880457826,50351381.05774477,53417890.126334146,56372019.81075024,58721284.303773746,60594580.36371767,61548467.83862808,61772018.7610696,39414095.55386974,40182899.865196615,41169359.14297674,43947731.65909711,46925026.57267451,50351753.43904436,53382063.79294971,56372953.08959454,58788642.905512534,60517480.9781555,61577564.58678103,61729740.594525196,39374337.29423068,40202669.144143745,41209172.765276,43909765.06549782,47092722.38924826,50372942.41661596,53480217.39087345,56379185.13670741,58733736.94286802,60596000.70009895,61662230.99100834,61716353.19262273,39470061.06721239,40262700.84367988,41210957.47419989,43883865.75341484,47040665.82000934,50375720.19670886,53430257.961166,56309414.65561816,58739998.9903259,60620775.99864033,61571272.1544894,61758821.513011366,39406626.83627398,40296771.890230514,41263682.75054113,43954156.80397573,47103463.47979951,50301715.49759716,53407462.75794907,56349232.26254451,58773635.02053958,60603775.482318014,61592363.470004365,61772331.572089694,Coast
1436770.5205075946,1463291.812266517,1513966.9277190263,1635994.8879821268,1770583.710984501,1911676.0249979664,2044706.3528084874,2162808.011229411,2261200.533785197,2332861.694561454,2372699.6413073433,2376462.838193417,1439303.1812279774,1463455.396922675,1507798.4578524374,1634485.9474856758,1769603.3739228055,1913420.7025845763,2045570.3178366476,2165870.3440193213,2261330.697978313,2331820.4620709396,2370594.439282856,2381295.2599165235,1436367.4254945235,1462695.4118743541,1519328.4174970654,1630185.9000813924,1772103.8555969046,1913221.9142162334,2043166.6788384125,2162436.698959582,2260990.9446600825,2333301.1487248344,2372585.7435992393,2378172.8210727684,1434863.2571739226,1463903.627460127,1513583.125433208,1634850.399285891,1773118.1478347082,1913955.5229463154,2047782.7058699357,2162421.8476856584,2261242.965137303,2332211.86225246,2374016.939376857,2378932.456074859,1434750.1059471003,1462171.4240242515,1514859.473825605,1635953.9116570344,1771324.1871515966,1912186.4348003627,2045842.188538569,2163541.704835177,2262251.71569628,2333162.6849370045,2371658.1683446877,2378039.0382961193,1437728.3354220123,1464926.9373292746,1520101.165441589,1632885.2214691024,1771936.2964525314,1915071.3661947385,2045604.2837654022,2165056.034279827,2261104.3291491237,2334144.3925858075,2372338.2532598614,2378227.4173101406,1437337.7706382358,1461895.3283562558,1512952.9480450898,1631984.38135027,1772248.5129176625,1914943.8115528158,2048833.0087687043,2162450.011155879,2262845.2424416733,2334394.406347877,2372061.634779995,2377972.1329487213,1438039.3688552363,1463280.6377813988,1514705.5041496533,1634509.0219826607,1770729.2680432189,1913281.5092989767,2047727.3159943162,2163727.6468498274,2260311.8687171433,2331898.38873577,2372468.4337536893,2379034.5081038075,1431849.8283053455,1461963.4028461347,1512857.5650020398,1635454.1258330778,1773888.1041104915,1911094.2745003884,2047706.7705627414,2166160.1606143606,2261119.975781376,2332452.9131905353,2372050.093804346,2377684.767776432,1435721.5798319334,1463993.7646769527,1514214.4789319797,1636392.293602962,1771088.8137160675,1912894.0846572483,2045804.1085530454,2164134.4171307813,2260786.4371600407,2331938.340954688,2372110.597782117,2379292.352246558,1436707.528691166,1465561.8241496105,1514522.7093558365,1636701.3532683186,1774217.7108795661,1913614.9022782545,2046824.9659641488,2165540.5082808817,2261224.220473144,2333738.3336196854,2372617.444193683,2377588.3414761988,1437604.408609175,1461466.5110900833,1512074.1760054978,1633588.7149033248,1771352.7592386496,1912518.8119427352,2045213.1155542685,2164133.2005249173,2260535.2210030206,2331046.905424632,2373140.7866399204,2377639.69961515,East
1476166.7589402464,1483743.1743188114,1507538.853238397,1596038.5951577919,1700704.8769708432,1815607.886718529,1927511.8563623382,2030725.929632023,2119505.156771032,2185957.6095016142,2223749.802294148,2229313.3040771866,1475461.4626101262,1482569.2442279423,1513930.3041414784,1592984.3063947465,1701417.650754593,1815771.440560116,1928969.0485282568,2031014.8508799572,2119929.3920872062,2184493.5843969467,2223166.8575525368,2228758.007941338,1477834.8026632345,1482961.8612936297,1510938.4287442442,1595148.1647117732,1697625.6714673042,1815222.1624787645,1928242.1180730786,2033736.759495429,2119126.9935750444,2184615.0065097446,2223369.065513327,2229353.3799902163,1473345.0320710677,1485907.6405034768,1510437.2907692345,1592776.9008810802,1703210.9264305134,1816820.2435759604,1927039.8900500417,2033756.353549229,2119237.320003821,2186688.3336831583,2222280.6862105383,2229236.145684841,1478848.5792945111,1483671.3253027631,1511547.7278588396,1595015.8195333902,1702833.222589337,1814325.7157334955,1927960.9960030061,2032123.5056236556,2120184.73760938,2184401.72575042,2223184.001722486,2229748.759477355,1477024.315536834,1482553.8626564215,1512036.8666802149,1591778.1592778338,1704346.3741445583,1816764.70195402,1928345.1330592753,2034131.7921549818,2120595.820909223,2185573.350311047,2222919.6361478483,2228441.589349269,1478911.4554947044,1485401.0504364856,1512730.961669261,1596596.3813071155,1701263.8155418544,1818119.603483813,1930119.7547576572,2031631.805166892,2120158.303822812,2187417.667174448,2223513.346952345,2229933.499631792,1474532.3544530333,1484008.7943028396,1506498.8244644788,1593660.2899674554,1700702.6621014865,1816849.1122330797,1928468.2685443524,2031460.3679377607,2119467.279930164,2184872.6363617633,2223016.0363715594,2228813.0007724874,1478951.8674797614,1484772.2123304398,1510665.1042270246,1595894.534880643,1701629.1330537046,1816175.650778466,1929629.106365467,2031675.318198245,2121374.8902426837,2186255.438122138,2223286.8241725317,2228283.2251055683,1479555.3934340246,1485512.065858408,1510808.5988032618,1590386.017226151,1702393.3462524556,1816144.6556598837,1930209.8746627434,2033461.946299693,2121645.684983244,2185849.249773044,2222368.438858511,2228796.9125401825,1479860.937376383,1483919.111277806,1513788.5036473772,1591960.7668468638,1699119.5889635077,1819397.2051790042,1930009.3051857646,2033401.200739611,2119178.9609546647,2185674.7400051584,2222891.2218160904,2228503.3151933593,1470623.8138557405,1482482.6190620773,1509542.4809114635,1594035.7452699651,1705744.6860712105,1817592.8859973336,1927746.7956467352,2032971.3574720891,2119789.170282361,2184739.6692232518,2223026.62374585,2229984.3877725466,Far_West
1300468.2477892295,1309209.7838837935,1333265.6513837262,1389204.619375014,1463493.6652527673,1537358.3064484068,1602382.6657295635,1665181.1209604687,1715712.3335267066,1752613.442303243,1774222.4740698938,1777467.558538733,1300563.6660768604,1309989.0079090302,1336377.7801151047,1392121.906063261,1461450.7197447561,1533864.677122406,1602012.878870896,1664166.208315246,1714685.7617340207,1753364.0889688805,1774632.028155851,1777535.6505363802,1304753.4527753273,1313565.4071089043,1334202.8942529666,1389915.7865012598,1463562.1206009146,1537700.301754681,1603758.637815865,1663845.5532437444,1715380.6903183742,1753616.3018096623,1774356.1543726483,1778071.2730336878,1304012.1165678683,1311838.8069270947,1333240.0454199566,1389867.1650789918,1463409.2214056447,1533828.407575796,1602091.5104079205,1664909.060720826,1716359.296975897,1752345.5282820824,1773895.5139700407,1776208.9864352527,1303055.4299943086,1312477.9928886038,1330987.1430423316,1395139.2509484796,1459042.07318429,1537652.0017873214,1602749.1243800959,1664926.1203083154,1716493.0338012986,1753169.1077323519,1774050.7155863605,1779319.723856673,1302727.797507479,1308919.6046137302,1335435.6355273707,1393454.997067992,1462934.6976717229,1535595.5159122082,1600890.103201011,1664433.303536426,1711220.3484273718,1751960.4077237847,1774874.3096956767,1776725.6327281035,1304675.1690639325,1310213.1171562113,1336620.2806343467,1393152.6320341388,1462794.3851154293,1533680.5802536316,1602224.4715547047,1661356.8733838468,1714324.426050615,1753963.6514703718,1775413.5254489065,1779319.4070736384,1301422.2508090853,1307365.4045075679,1335294.7332020036,1390587.7067341488,1461127.5265256267,1535067.832329751,1603723.6494293467,1665749.1320314822,1715282.663140284,1752674.7783087338,1776846.6365370385,1778983.9475381596,1304123.4556737528,1308331.5450711097,1329401.791933231,1389186.3251408644,1461585.9626827724,1535303.2408212703,1603100.6002731395,1663985.2375687233,1716897.692055298,1755417.8787170078,1775279.4936124743,1778826.526203415,1301539.207654598,1308862.9544844257,1333768.4272777964,1390114.543467039,1460818.5785091633,1533937.1339859946,1602970.2779548047,1765198.17859453,1714471.7071565243,1752599.7569984102,1774337.6615282104,1778110.9977691232,1304629.2420609852,1311382.5169915538,1332241.5520680195,1392947.5819773239,1463208.4311227307,1530480.620215531,1603338.495287675,1663283.677528798,1713542.1729770515,1754744.0561484715,1775692.6069460246,1778677.450899504,1300969.3267291766,1312971.4910756794,1335110.5234664122,1393284.74776853,1464254.976800076,1535125.207632153,1599971.4882059298,1665416.8840079529,1712934.6584201874,1753090.0106984577,1774675.1294384722,1777816.5602974994,North
75709658.73826125,76752292.12424661,78738319.19791406,83828074.44861531,89581547.73773345,95441118.36296101,101478411.34970883,106953127.19052257,111380928.93293613,114803468.6734549,116716659.38450168,117086513.13538554,75570577.78003006,76987298.16681597,78889577.28448577,83768130.39252512,89423611.50858726,95648509.3452858,101453749.02543072,106863430.5029468,111352736.30734257,114733466.54433851,116738602.91796933,117033503.83389287,75287389.72886659,76969505.31287298,79062054.0519938,83682908.79756835,89737621.99091485,95557034.76576175,101466625.28584045,106968536.97615805,111423563.96134943,114802364.28181863,116775654.48041359,117028461.06156173,75951254.99048522,77042069.72166702,78879702.46724874,83572876.72978956,89477090.61649239,95594538.7259578,101707821.39336427,107002203.6286891,111367790.84220521,114856881.87883882,116768103.00964172,117063861.53717357,75473742.43201554,76799626.73549624,78869417.44667119,83715028.91217577,89578590.91289513,95558560.7210388,101601815.07188463,106867900.98203006,111396501.16706361,114771992.18394013,116694106.88347703,116981562.00352761,75471332.38544258,77012245.22618915,78952495.37189077,83816341.84675978,89643861.7847581,95634517.3645634,101474028.3162805,106975444.25256869,111455516.26687677,114857372.37967016,116793424.30223186,116973326.30166811,75563823.7960332,77041757.86287889,79015192.25566238,83666546.77303094,89487004.26704724,95777120.81579909,101558674.63355546,106944353.72918594,111402279.044447,114928749.84480661,116728340.40145901,117025723.61408381,75762826.7961832,77048315.89320675,78858218.27811109,84057401.60527667,89502924.47172856,95667434.36064595,101383719.52311155,106965704.82657005,111434889.08285353,114813078.38617364,116731305.75086506,117100380.32447827,75811031.14292127,76914905.11512333,78848640.51422507,83698992.29140703,89459196.35375376,95701200.61232695,101474736.65149078,106929618.52323063,111342307.26955521,114816030.56992637,116703441.03862725,117015547.9033856,75828329.56358677,77026272.64693071,78964904.30870934,83847297.80030471,89635702.1447657,95608686.8336501,101518035.21427965,106869949.70584108,111476696.91593269,114805782.34595723,116674330.42094938,117051838.53321908,75754004.10693304,77030117.90524498,78961182.15464318,83870396.47559968,89640896.96699393,95695997.68583812,101505808.4526853,106872630.53803249,111456639.82494488,114759536.06210317,116784369.92695485,117064945.00821353,75661414.47205786,76893685.58106796,79077414.85152522,83673158.0107482,89474043.55085647,95567955.30159396,101596043.8355695,106859653.80585669,111489245.1206268,114816169.72103576,116788559.07980347,117057386.38990432,North_Central
4259326.374339443,4338701.996380591,4443186.375633541,4718689.87408391,5047640.95814187,5372599.520496978,5686888.467546391,5970634.138413275,6203276.348858533,6370892.193860447,6470673.391521576,6488252.8848342765,4275605.999796673,4334551.450424801,4459225.243119413,4726724.756648065,5051950.081310578,5379424.829612395,5688539.361405177,5970859.052700078,6200986.512203975,6377293.140978506,6469391.607328875,6487667.141872806,4259842.997077875,4347062.195355104,4465336.485384791,4726387.998292762,5046152.234750448,5371236.988197742,5687570.051698517,5969459.357231012,6199753.570974523,6372540.124519604,6471370.913268979,6486669.0054301,4277738.761031404,4339218.722369223,4449507.827595296,4709502.22504429,5043514.800954068,5379739.6391334655,5692118.306022078,5972945.05692187,6202246.646467045,6371939.716653644,6472928.654169184,6486321.4196909685,4273618.475693554,4334298.352063268,4450419.588662655,4721745.8968707565,5039859.263358585,5377535.412443465,5685066.25679661,5969285.701786957,6198847.587843154,6372355.667794723,6473662.49210341,6485666.562051296,4274537.9475899,4345969.0201931335,4449312.437621851,4719951.5739485845,5049408.855473884,5380114.133395268,5688703.165391412,5970396.551895788,6199134.712806442,6375266.536476842,6472348.933051462,6486383.041494502,4259299.562091795,4342569.828813626,4446177.242061096,4724494.784674177,5046887.183032102,5371850.34018671,5685844.470682417,5964491.851511676,6200321.054932588,6375335.2365565775,6472621.551227132,6486588.868044333,4263358.815210785,4349511.1054019425,4447178.26811209,4718724.734162941,5050893.346956301,5385452.059215674,5688478.4150161175,5967706.584740389,6200155.529023664,6377427.076954401,6469919.516506403,6486941.704611189,4274490.9632256655,4323468.7769634,4445601.952964145,4717801.056226206,5049215.164323559,5374376.60456793,5688969.251528044,5970463.721694123,6205795.5862065395,6376309.0772422105,6472107.776841404,6487863.279031445,4266238.453482768,4328250.455640419,4457493.558035915,4721184.707738605,5056108.058846364,5378940.919627776,5679214.1848615855,5970981.473469263,6203918.560912456,6372270.917909586,6470801.031833795,6485549.651130813,4288112.25939934,4343271.424806351,4445932.600242801,4717232.245042149,5042625.258030537,5380872.753437226,5693222.631500981,5967925.088167539,6199264.97788738,6375653.287203195,6470425.391176566,6486572.641660735,4271270.37950697,4349884.740620672,4437181.617728833,4726753.179682862,5050199.322345998,5370121.35191016,5685227.145886393,5975905.967773015,6202295.117701464,6376899.991681729,6468628.166447207,6484370.854955756,South
17089501.66219899,17319991.07992818,17723547.28298724,18633100.910786312,19689997.81842752,20868196.604658745,21981784.15609469,23022852.36039212,23906090.41719768,24561986.669927813,24928613.416874837,25005915.188255858,17113113.53282576,17337270.38940821,17667913.460411236,18577736.953214664,19682673.84408989,20873972.44445348,21981052.269537166,23048487.631598752,23931990.71304202,24577411.686347574,24955902.52870256,25000172.74173259,17071963.84462405,17298930.260250684,17663091.98985317,18562440.73058498,19696579.047013514,20849740.63920416,21992914.185371127,23033995.106831625,23919144.187119078,24564915.175800618,24963773.812876288,24991109.253186632,17086900.4427025,17300439.69757933,17708188.377587892,18567927.614257786,19693880.169920772,20872424.543056153,22007564.2538838,23018799.501392342,23927739.52603348,24568169.42876607,24949897.622888286,25010530.374088123,17071768.78114641,17330701.112928182,17710409.8178223,18610502.829913076,19679280.686638832,20830835.32176833,21988750.553028706,23031954.859934352,23902508.6026134,24576318.759791065,24951938.627202578,25009856.156759534,17022775.692239363,17329328.913546436,17688957.111182585,18553718.263618026,19648363.95892564,20837839.507547405,21973169.692140374,23018204.682695314,23919888.89305422,24618998.821958274,24944621.90660632,25006787.98960116,17031289.96331562,17365857.017287306,17665100.260056905,18572069.22140841,19690326.789482445,20858288.113111544,21969069.706196662,23023875.544246,23911700.49842221,24573190.700738057,24936034.77481,25003697.455513038,17098764.84144724,17328689.01809503,17708222.201430976,18587041.78476229,19717268.56118911,20864788.919200867,21992491.61407431,23071461.868544754,23923631.872161556,24570193.635332406,24936724.582172904,25009295.447454054,17044721.01218116,17305662.872862328,17693558.431923278,18587346.186577,19680529.004253734,20872082.157358184,21996626.182478357,23021904.894832045,23886913.22850195,24549437.387725756,24930350.439323198,25010810.030123986,17029204.83826363,17327699.39905479,17679385.30023722,18577507.746505287,19668955.05637918,20861410.124246545,21988699.07346898,23035769.007274486,23911827.65524401,24573553.7349768,24923589.865070045,24998040.798318014,17045058.51798647,17317967.928122282,17681760.561238576,18592389.094393358,19683264.822308365,20850478.186760113,21978850.5064166,23019114.781001307,23928729.6352481,24547603.074543644,24938179.621724535,24991235.32392352,17060308.379351113,17309750.63771003,17635139.6694399,18576432.009093422,19710825.89742732,20841116.739406563,22001920.952231627,23016308.372605193,23910138.5230123,24554148.36346388,24964185.822773427,25006921.421889722,South_Central
1734040.3185382648,1728175.5531088968,1739040.590644533,1786985.0291996512,1860510.85778034,1947501.346621755,2035086.8264047361,2121232.2999169216,2193926.0892650825,2249876.394560508,2284063.408057532,2289736.589659816,1734157.650934073,1729620.8781864156,1736686.6076485391,1787280.9530605008,1859281.581134661,1942800.617343728,2036288.236621379,2119977.187731855,2193643.247534474,2251211.968697957,2283868.2450914825,2289589.5340200947,1732884.1617387254,1727965.6528622766,1738978.4027925825,1786944.904328239,1862199.8283178415,1945326.9547660535,2036063.0998822493,2118531.3352778233,2194252.1114688944,2250066.497611982,2284871.7505200314,2288981.7000649376,1735086.0934495248,1728525.8624991954,1742876.3634334602,1788700.0049248573,1858242.375238674,1947542.2471688392,2035472.2239421215,2119719.792462549,2193474.3766000853,2251292.2691116775,2284955.921411697,2290221.1642030654,1736331.8365792157,1729329.6283554335,1743215.8277331847,1788601.4500195757,1860182.7385759833,1949127.374255257,2036031.2584378165,2120100.5275751213,2193605.502311834,2252283.958886185,2284579.952053949,2290425.206139817,1732684.8735310263,1732459.7593204693,1738554.320926247,1786440.097090822,1862303.8252784596,1945860.9040700768,2035311.8191316181,2120267.8554239413,2193292.3039817526,2251757.574727354,2284795.53623731,2289553.158411601,1734227.4409905567,1730459.5943179897,1737105.9212328694,1785831.9034531019,1861575.6517246896,1945880.9634416208,2035911.0733394949,2120273.2302822573,2194599.7571511557,2251989.124842083,2284015.778545093,2289617.179184154,1735839.7622488705,1731154.088838125,1737309.0980658925,1787254.7051847775,1860735.5178358569,1946224.0888988941,2034597.7961524266,2119989.1212996924,2194504.0300209485,2250928.2164053577,2284644.3970760563,2288784.0311999302,1731438.3432062434,1732968.2300500972,1738651.1134644728,1785612.659822596,1860844.0267549132,1947801.3316221829,2036514.0507125854,2119766.1404664386,2192341.147835637,2250985.961408735,2284629.0872130343,2289337.919931347,1731609.5005844343,1732764.6374220897,1740100.4188229174,1786025.0744842466,1861555.233942127,1948944.1070513388,2035754.7392273862,2119374.2701116954,2194280.6392749464,2250478.2737221858,2284186.2803489435,2290138.332342789,1728695.4934946203,1727834.8202059462,1740269.7651032696,1784493.721241294,1861372.6134840876,1946667.6286404934,2032834.9399510787,2118523.734881752,2194815.5606430965,2251458.4304643297,2283633.0848726863,2290136.6061096797,1730379.8627075679,1731727.6738759,1737711.7286269767,1786534.4926220889,1861027.249947583,1946028.8729148002,2035175.2085221335,2118938.010793053,2194424.5389620243,2250828.9237625427,2285272.184656474,2289780.270575266,West
