0.0_0.0,0.0_0.05,0.0_0.1,0.0_0.2,0.0_0.3,0.0_0.4,0.0_0.5,0.0_0.6,0.0_0.7,0.0_0.8,0.0_0.9,0.0_1.0,0.05_0.0,0.05_0.05,0.05_0.1,0.05_0.2,0.05_0.3,0.05_0.4,0.05_0.5,0.05_0.6,0.05_0.7,0.05_0.8,0.05_0.9,0.05_1.0,0.1_0.0,0.1_0.05,0.1_0.1,0.1_0.2,0.1_0.3,0.1_0.4,0.1_0.5,0.1_0.6,0.1_0.7,0.1_0.8,0.1_0.9,0.1_1.0,0.2_0.0,0.2_0.05,0.2_0.1,0.2_0.2,0.2_0.3,0.2_0.4,0.2_0.5,0.2_0.6,0.2_0.7,0.2_0.8,0.2_0.9,0.2_1.0,0.3_0.0,0.3_0.05,0.3_0.1,0.3_0.2,0.3_0.3,0.3_0.4,0.3_0.5,0.3_0.6,0.3_0.7,0.3_0.8,0.3_0.9,0.3_1.0,0.4_0.0,0.4_0.05,0.4_0.1,0.4_0.2,0.4_0.3,0.4_0.4,0.4_0.5,0.4_0.6,0.4_0.7,0.4_0.8,0.4_0.9,0.4_1.0,0.5_0.0,0.5_0.05,0.5_0.1,0.5_0.2,0.5_0.3,0.5_0.4,0.5_0.5,0.5_0.6,0.5_0.7,0.5_0.8,0.5_0.9,0.5_1.0,0.6_0.0,0.6_0.05,0.6_0.1,0.6_0.2,0.6_0.3,0.6_0.4,0.6_0.5,0.6_0.6,0.6_0.7,0.6_0.8,0.6_0.9,0.6_1.0,0.7_0.0,0.7_0.05,0.7_0.1,0.7_0.2,0.7_0.3,0.7_0.4,0.7_0.5,0.7_0.6,0.7_0.7,0.7_0.8,0.7_0.9,0.7_1.0,0.8_0.0,0.8_0.05,0.8_0.1,0.8_0.2,0.8_0.3,0.8_0.4,0.8_0.5,0.8_0.6,0.8_0.7,0.8_0.8,0.8_0.9,0.8_1.0,0.9_0.0,0.9_0.05,0.9_0.1,0.9_0.2,0.9_0.3,0.9_0.4,0.9_0.5,0.9_0.6,0.9_0.7,0.9_0.8,0.9_0.9,0.9_1.0,1.0_0.0,1.0_0.05,1.0_0.1,1.0_0.2,1.0_0.3,1.0_0.4,1.0_0.5,1.0_0.6,1.0_0.7,1.0_0.8,1.0_0.9,1.0_1.0,wind
5576147.963991827,5610609.765073797,5647145.538096203,5741785.095847238,5838815.956801231,5928531.940663024,6015272.516108164,6086653.206077307,6142759.535007286,6173335.77290868,6180672.980822092,6182202.155017654,5586549.518846845,5610899.683551654,5649910.834659658,5735798.159068402,5835964.212913908,5932449.749204254,6021115.998406958,6086091.957853823,6138790.437344709,6177538.026861317,6184468.13746412,6178318.514443871,5584229.972924128,5617828.836934974,5656896.683398255,5737454.506105816,5841181.70452124,5934587.383761509,6024574.537742121,6091586.360034686,6140214.255949811,6173416.687608038,6178153.084790885,6176614.816281844,5574828.459775187,5611956.048970698,5653849.485392922,5744418.983692875,5839559.607308455,5932757.050236007,6026073.426294042,6089637.262087795,6144446.384176496,6173330.773686078,6180149.9023727365,6177208.56757635,5573737.248050322,5607868.557474632,5653029.354919938,5740558.633105949,5841521.816503362,5937206.311378863,6022781.54687306,6087107.489847281,6143028.719728077,6175928.854901142,6180816.2357703205,6181147.688703349,5578638.242910677,5613130.434823171,5647618.710934148,5742708.80601586,5834734.562392674,5935917.411158912,6017816.30191584,6092515.959052765,6138907.997884511,6176603.8280673195,6177771.374022033,6180257.359643823,5579234.6705068955,5616856.355442689,5654468.722765085,5741504.720353526,5841746.2839354575,5938102.408861336,6016737.288631073,6091356.013389471,6141222.540234556,6167690.126049069,6175414.897994616,6182442.814425999,5579654.185882918,5607512.746878016,5650102.631715837,5740848.070327652,5837063.951443745,5933304.110380186,6014305.285412428,6089320.813199322,6142170.9101235615,6176273.7917595655,6182178.424476886,6177468.277491514,5577216.814596081,5601895.12890399,5647333.626476815,5740486.462691205,5835130.8901917925,5934795.829629193,6019579.416796879,6087762.705546941,6141171.049394542,6173327.186789801,6179892.469164549,6179119.189302405,5575901.185105347,5611477.485804062,5648126.215258612,5737602.063250388,5835262.574872832,5935062.786501959,6018868.853305596,6090377.047277974,6142908.594045973,6176815.967823942,6177255.552285529,6177497.520882149,5581256.856625806,5605069.201215258,5646565.566263172,5742325.160554093,5839959.5159957325,5936472.537088019,6012569.375630469,6089192.667961802,6145995.432515044,6177551.683697306,6179374.226833538,6175925.712855726,5579539.973746122,5608818.504289403,5639301.169433444,5744806.744177175,5837649.283312716,5936691.613105171,6017821.608714804,6090600.030947415,6139824.845201487,6171987.578890581,6175481.436948819,6183724.360322415,122_WIND_1
7401304.558701153,7401006.344544398,7447867.378901194,7531322.294426364,7615120.409921271,7710809.127059726,7788715.444951342,7858669.890099473,7912254.838350584,7938561.402225394,7947248.08541234,7949090.243080039,7392760.139785893,7420437.6031004265,7447954.6866823435,7535743.935556951,7618324.199613144,7708148.472925408,7786219.724598092,7861074.904777721,7908200.305025523,7938498.345667499,7941900.538174158,7948616.577994753,7394601.05079065,7413657.802197923,7443651.306422247,7527800.933712317,7621553.487043248,7714470.815273741,7799960.194502192,7850450.749621611,7903216.819692427,7939361.903331049,7944472.13540116,7944321.816815606,7384437.426509694,7420858.194455476,7449904.774641034,7529404.621336427,7620376.1414565155,7711964.559323158,7788268.256696094,7861339.652561324,7912559.745562241,7944349.713322096,7947631.968904064,7949626.652445149,7397036.028769353,7423412.857251881,7447812.372409961,7528647.974589962,7609377.436908761,7713258.574556869,7796063.44932039,7852924.060431357,7910163.839166942,7948616.352229927,7945490.228208615,7942557.429086866,7392246.199848338,7412347.242122129,7448088.3916512905,7536185.843379039,7619439.976636323,7703361.098938329,7793749.918237676,7859424.66623986,7909531.170485806,7945656.1118466,7947280.445494347,7942523.165961136,7400030.868585179,7422761.48292165,7450543.717010748,7523732.647089476,7621488.163205825,7712176.432177619,7794902.47364715,7862828.313698124,7905000.544994323,7944447.615398404,7949234.892272196,7947807.205487834,7384688.75165387,7415666.782983028,7451738.978196498,7535654.844689483,7624507.158470306,7708417.068267507,7788815.097775998,7858684.697213073,7905726.898622581,7937397.637007234,7949485.455583426,7944810.016383035,7390190.466370865,7408920.358826625,7447977.915094665,7539626.089188433,7622617.871076669,7710048.747760371,7790368.183064288,7858284.767728757,7913221.282863373,7940486.742546666,7942603.6769968355,7941884.466882382,7389592.974709702,7422516.334948158,7440915.599026189,7527615.684255229,7621705.410334117,7713646.88323303,7789591.718587576,7862649.675742224,7915769.447624936,7951682.148750847,7943061.122682544,7942143.189685877,7389930.724290848,7411917.535014354,7452107.800289789,7528060.464528263,7618506.296964009,7705505.841300523,7787338.266364756,7864815.629837837,7913066.936816857,7948791.956083205,7940849.956402567,7938613.207063611,7384438.053767975,7415697.803274019,7451149.571725573,7525899.110709209,7618980.066612676,7711013.715122808,7793285.597948208,7864577.454893553,7909247.471882998,7938950.517893337,7946460.358732729,7945456.286572696,303_WIND_1
234725.50427592936,235306.76058300157,236201.10513602386,238291.01717007183,240776.82152908127,243404.92107704497,245481.967955832,247607.02942265247,249031.9149380674,250214.9861728421,250415.37395683833,250307.66906060063,234885.29966587678,235506.00182231737,236303.15926392225,238350.84516355596,240602.3598291862,243363.74645949504,245635.55882705518,247649.7491797933,249192.77415036972,250389.50489685364,250567.66363389936,250364.78844689904,234702.00732088456,235365.6137517183,236384.08247566022,238125.12658436951,240705.99351359034,243416.23985733994,245634.86750131004,247583.86755156322,249242.92873023066,250182.3748278764,250412.1437825055,250439.8736098236,234906.89208216374,235333.49669500574,236041.75555710768,238362.75432671933,240737.0075595926,243344.82852722346,245745.55199429303,247690.5041829309,249327.0587196397,250271.72913596497,250093.35681164003,250497.54287509102,234784.80101359353,235635.15328072073,236229.12940962976,238251.01177625346,240533.45377616354,243202.58332650608,245524.15855609992,247665.51721399598,249104.34916951554,250098.04632152512,250281.52393002136,250383.9415250887,234582.6674910204,235419.51062721858,235929.42383221837,238559.52947166824,240819.0972427949,243260.2926387482,245759.91045843883,247532.6174864162,249179.4117249563,250206.3746926021,250293.1531917214,250348.95770328504,234675.55222916807,235359.89071691444,236080.19269695238,238174.0627667705,240615.27477749737,243298.5479136703,245848.80816825098,247604.82074145813,249322.02254428717,250326.00286492796,250411.11720547685,250437.23509988404,234990.46587677154,235152.0685537215,236166.1495629449,238358.44937534654,240907.11582892959,243602.07573652623,245772.31121724498,247850.18175427068,249400.65031956503,250100.34209063885,250512.18783037813,250187.04842612485,234687.3282569655,235359.8986220825,236210.29451047693,238358.95618279543,240897.04987917852,243365.39870456952,245781.98319657551,247676.28495548764,249095.31987406913,250561.41607191693,250231.12563782284,250439.52571031966,235080.10006451423,235317.28633293897,236277.20797582075,238331.35144267164,240736.41727075944,243232.1605235106,245726.80639328426,247780.8506776237,249120.97985593916,250164.82040691932,250383.07953594046,250497.52016674884,234909.9201191805,235155.81672498788,236533.37069629246,238303.63403882543,240931.25942130436,243384.85547354806,245640.50949981943,247706.96263234125,249378.9863367903,250297.43990105196,250413.52262056063,250183.62626543295,234435.16776871865,235356.5135764638,236227.00766491293,238418.43543721348,240886.12239573177,243480.84484079984,245466.77808624195,247722.93442901946,249098.57740873075,250187.31961180936,250377.98258500278,250484.3261791157,309_WIND_1
6367075.333992994,6412548.704237986,6455499.185761338,6577944.969166674,6694599.264210783,6802396.8128185915,6916023.375942179,6998724.591140815,7061751.222059015,7108083.764821566,7113118.272514854,7115769.809193829,6377502.549948589,6417324.332836147,6463579.138276305,6576161.237032553,6699930.8476686925,6813456.094384638,6920136.40302668,7002090.152495309,7063016.302978072,7112595.038137789,7106171.344762649,7109133.263506997,6372637.493593661,6409405.722941516,6455821.278361212,6571700.25703326,6692053.9255893575,6814084.363118178,6914985.298101146,7004326.983084297,7066352.624973047,7105758.226394789,7110325.320974885,7111403.670833656,6377678.674694239,6415070.262216632,6461661.282677499,6572630.7028867295,6691787.98419306,6809446.806342233,6916403.341583369,7004941.916872363,7068333.059244046,7108084.944337321,7116400.6656663595,7109655.2749988325,6364050.215830281,6415601.460011295,6463022.635459477,6574875.940590261,6691231.012249683,6805793.349403232,6913178.7216216875,7003670.766164785,7064078.200504294,7108782.4927895935,7113604.352000043,7110477.207985343,6378169.831305153,6409405.535145225,6463358.599722122,6568262.5042021675,6694912.288210755,6812624.899530635,6919516.424172434,6997805.119485058,7066947.201067859,7106015.974788935,7110882.991530142,7114918.316681522,6369580.602887602,6413528.074198408,6465724.077519604,6579552.405405183,6696869.822826618,6811253.101339455,6909654.679203306,7004341.222447814,7066723.286998071,7107697.850297716,7110582.315783558,7114703.428770147,6372132.378877944,6411724.035006245,6463477.578895459,6572251.075468084,6691500.058229979,6805849.1125396,6923694.060938565,7005363.370146851,7062641.503679405,7110656.040631464,7112965.62358299,7109138.325755888,6382869.689192901,6410189.476639327,6467409.33142396,6583210.460363456,6697676.187695666,6814360.826986266,6915171.035339829,7005098.27772372,7062918.472693316,7110899.773012346,7111105.642531106,7112498.95397994,6372273.883851753,6414508.1647991715,6455354.667838188,6571021.178349468,6695951.004643268,6806586.277105603,6920098.541620685,7004040.471151825,7060750.954902944,7110456.416247286,7110599.768262876,7109357.1599297905,6377724.875502665,6404145.540124492,6462876.234423674,6572929.0428821435,6689541.756885361,6806596.662372277,6911701.749796674,7006042.417606431,7068923.663812606,7111665.599956142,7114637.7301614005,7114257.516545403,6375392.432830954,6410755.581234857,6467866.693173825,6573894.746697196,6693299.851397904,6813174.7381074615,6920909.902155302,7007210.200984659,7069043.451659585,7107198.574224633,7114831.82791857,7119043.319940548,317_WIND_1
