0.0_0.0,0.0_0.05,0.0_0.1,0.0_0.2,0.0_0.3,0.0_0.4,0.0_0.5,0.0_0.6,0.0_0.7,0.0_0.8,0.0_0.9,0.0_1.0,0.05_0.0,0.05_0.05,0.05_0.1,0.05_0.2,0.05_0.3,0.05_0.4,0.05_0.5,0.05_0.6,0.05_0.7,0.05_0.8,0.05_0.9,0.05_1.0,0.1_0.0,0.1_0.05,0.1_0.1,0.1_0.2,0.1_0.3,0.1_0.4,0.1_0.5,0.1_0.6,0.1_0.7,0.1_0.8,0.1_0.9,0.1_1.0,0.2_0.0,0.2_0.05,0.2_0.1,0.2_0.2,0.2_0.3,0.2_0.4,0.2_0.5,0.2_0.6,0.2_0.7,0.2_0.8,0.2_0.9,0.2_1.0,0.3_0.0,0.3_0.05,0.3_0.1,0.3_0.2,0.3_0.3,0.3_0.4,0.3_0.5,0.3_0.6,0.3_0.7,0.3_0.8,0.3_0.9,0.3_1.0,0.4_0.0,0.4_0.05,0.4_0.1,0.4_0.2,0.4_0.3,0.4_0.4,0.4_0.5,0.4_0.6,0.4_0.7,0.4_0.8,0.4_0.9,0.4_1.0,0.5_0.0,0.5_0.05,0.5_0.1,0.5_0.2,0.5_0.3,0.5_0.4,0.5_0.5,0.5_0.6,0.5_0.7,0.5_0.8,0.5_0.9,0.5_1.0,0.6_0.0,0.6_0.05,0.6_0.1,0.6_0.2,0.6_0.3,0.6_0.4,0.6_0.5,0.6_0.6,0.6_0.7,0.6_0.8,0.6_0.9,0.6_1.0,0.7_0.0,0.7_0.05,0.7_0.1,0.7_0.2,0.7_0.3,0.7_0.4,0.7_0.5,0.7_0.6,0.7_0.7,0.7_0.8,0.7_0.9,0.7_1.0,0.8_0.0,0.8_0.05,0.8_0.1,0.8_0.2,0.8_0.3,0.8_0.4,0.8_0.5,0.8_0.6,0.8_0.7,0.8_0.8,0.8_0.9,0.8_1.0,0.9_0.0,0.9_0.05,0.9_0.1,0.9_0.2,0.9_0.3,0.9_0.4,0.9_0.5,0.9_0.6,0.9_0.7,0.9_0.8,0.9_0.9,0.9_1.0,1.0_0.0,1.0_0.05,1.0_0.1,1.0_0.2,1.0_0.3,1.0_0.4,1.0_0.5,1.0_0.6,1.0_0.7,1.0_0.8,1.0_0.9,1.0_1.0,load
454052.992611552,457444.17413196136,460405.9112592492,469480.13266946696,477343.2603009388,482206.35524017597,486687.34290905105,490606.7226079808,493272.2249302949,494369.5028929297,494492.5632479715,494062.9793018384,455220.38968129794,456744.375649451,461199.6329411643,469436.197495154,476645.6293673029,482343.8697696072,486978.0436140208,491796.33459796227,492961.46151439525,494174.0845699361,494391.8307064646,494034.006041229,454447.1221156063,457471.5014482777,478849.94673600065,468948.86681989365,476569.1868464994,482222.28241250163,486550.24687698175,489768.615233057,492919.5903497362,495127.8627968023,493733.7062994896,493937.6612241537,454355.79347423714,457271.702813403,460724.5892517009,469322.9447757124,476431.8176282058,482602.5197875668,486788.1844841455,490747.34229929553,492972.82984632696,494680.0260867115,493821.9228994716,494209.5162991001,454030.306783841,456908.75407840835,460472.77168940764,474659.36625678744,476539.06382558483,482204.70989702654,486480.4982144324,490225.1044879957,493024.57164254825,494068.28226309514,494124.7555449253,494352.6954827309,454974.4255294177,456510.72142190614,460806.94590119284,469149.5341923884,476449.14309832663,487762.57888071024,486505.4480713263,489940.40091452753,492991.20465021126,494325.41722525883,493605.7375212684,494007.90970702603,455970.01499394985,456380.2103271324,462091.3650455148,469524.0488888865,476833.85355070495,482231.9690024733,487177.35845358414,490234.1979021156,492718.7442862541,495178.09806718107,494160.3695027672,494210.23178854544,455019.64499629673,456984.17183930153,460243.3888879108,469403.5908341981,477326.76606707403,481897.8625428833,487023.9677103553,490687.27847086044,492855.77050378395,494182.7256559683,493862.1854812264,494698.22904775786,455134.3661215313,458662.5519704626,461308.3503175429,468852.33035786863,477357.9089894997,481866.8867709959,486677.9266417708,490197.0844586307,493376.4616310858,494000.6622273849,494299.8119391722,493834.41777290317,454924.38228356856,456634.07450608676,460237.0761178087,469244.4573901995,476874.0889267204,482349.25648349524,486805.94302616065,491067.802942709,493504.0588293807,494309.8533314102,494268.9506470255,493777.42568275455,454058.2310846278,456530.94240767835,460497.5438613306,469347.77570024674,477086.5167819327,481689.38191730983,487434.8855359416,490725.37603310385,492981.26562535967,493951.3643349464,494156.49268770905,494043.72301955475,454831.7575633621,457055.20966252213,462457.4947474179,469453.3650631401,476973.6955574225,482243.82290030696,486713.96078418574,490315.65676120174,493022.56085169787,494432.13313238433,493960.45793937345,494068.8303729946,1
205894.3683834809,208272.9691502444,211930.77658169257,221479.9180037306,229355.99046793522,234942.70000462345,239228.31040488754,242481.2545923406,244742.7433071088,245826.15419392745,245853.33295131807,245651.24469460986,206067.78532749385,208631.25143625238,212016.20861701496,221529.19829701915,229424.05376635084,234791.8528248856,239232.59576613002,242555.73460406522,244859.19589905016,245869.20780782634,245740.07526346846,245777.20334140156,205953.0259407709,208085.9380306809,212294.36445106208,221169.84584439095,229171.16180521972,234946.09879414574,239258.43342277085,242642.41422163215,244769.89340735777,245838.13827990796,246031.53876788125,245852.03887212882,205527.2267444873,208200.93949498588,212257.15233465715,221413.04859960647,229305.7858511087,234905.91075100753,239114.02027875528,242353.3251690305,244794.454025426,245877.32250074286,245701.07635587704,245884.34777392278,205939.9618211589,208143.59947241176,212188.7172870575,221593.07279930013,229203.52188564534,235026.69816064264,239243.2691602875,242652.93383596474,244720.31236257937,245841.63323645352,245903.14739257382,245817.39197401638,205875.6118717449,208308.13462517966,212188.32283622917,221313.0998506119,229252.69782643125,234940.63249448763,239157.8808225726,242412.8102643946,244703.25187550453,245770.35369463588,245741.80840624776,245905.02129124655,205887.22395447321,208113.10725976244,212109.04180178005,221836.43060725238,229447.39706183618,235001.0961832911,239046.54651431312,242479.67936675233,244865.73991561908,246016.83514568867,245770.78707242882,245809.63576185884,205761.434559026,208520.24372737634,212098.444534691,221356.79837437338,229280.571049401,234913.45201803432,239309.15177036426,242552.75068418827,244733.19497786232,245929.85477587502,245806.8980382241,245689.36741223728,205819.89311576702,208113.33538295727,212610.69482880327,221605.4847539433,229338.4552262091,234887.90106330032,239312.66448188853,242564.43840190396,244671.83285133532,245861.98406350357,245865.56362052128,245914.22569830666,205958.13390499758,208008.91127421684,211909.86794761743,221317.9865099437,229157.01252980813,234957.70241309833,239308.78014940862,242515.467350225,244804.75034004037,245833.4801403574,245839.05211210283,245786.20326780886,205612.1530440175,208241.19486715435,212161.49767528343,221428.0194859823,229211.35886336968,234786.29665497047,239406.97378618963,242618.47555353714,244715.9983049542,245861.074964692,245783.25406410111,245849.5466505761,206112.99735907585,208269.23765049077,212313.80954594573,221356.35373737768,229282.61242434787,234755.89767441642,239199.62932607124,242315.1808495238,244692.98823897078,245863.4526571244,245827.82240487364,245831.55980147683,2
280785.4240386432,281997.42835393036,284302.85480035027,289045.47362449457,294142.02214007755,298278.76087514515,301692.339351867,304535.39142901613,306726.84146885865,307449.4601063174,307570.51245919126,307572.39564787585,280561.4224916626,281918.9081738939,283944.141675961,288978.1581053248,294302.87087844237,298307.2678103106,301777.31523854396,304550.3980151372,306543.04222286434,307603.78757951554,307635.2283904768,307578.5012626303,280942.7088996412,281740.1002310964,284035.04618836043,289134.44145305036,294087.07915443665,298266.7689055736,301724.11633388425,304572.95430657465,306751.79454879696,307594.8676016188,307630.117741097,307551.5388353335,280646.9421182296,281849.82161380607,284297.0857628414,289246.4000020138,294033.07329761086,298083.51444423915,301684.2347453321,304570.0192200179,306647.46805957437,307597.7766663861,307538.1070619873,307542.31182826177,280316.96457001765,281798.9567135119,283941.00649015023,288928.0335140917,294231.98410705465,298279.30363852286,301671.7526266973,304644.0635733433,306589.05404875055,307551.48835228296,307502.4202860662,307584.41865766665,280932.7381015568,281940.59261933883,283955.4255362998,289222.7417589218,294119.8562718684,298279.31446484744,301665.8074369637,304583.2752921134,306646.50545749895,307555.42620622995,307758.8542583126,307619.09853288543,280604.10115241905,281707.3176693477,283770.43891353183,288891.67024880595,293998.9109422836,298137.96374072565,301617.2943424446,304609.7686231714,306561.33053816494,307633.8520941448,307606.9700085128,307792.2033755834,280592.8840529201,281780.4056956487,284257.0915358815,289207.7096843252,294091.96336406743,298301.34704207676,301889.9899332322,304502.63400960644,306590.1412131656,307561.12465174135,307587.73378275894,307739.29353182355,280783.96326816553,282235.9043478329,284016.9297403851,289188.6104661382,293906.77391253074,298172.6363908861,301530.921274195,304664.2239521149,306516.13434929523,307621.6848416828,307637.46267697867,307613.86885922897,280568.34737625095,281799.22831178526,283757.26833682123,289413.54638047254,294184.89093629364,298225.37176832155,301737.9476552273,304555.5994965574,306772.7983418059,307573.31787245604,307599.0743381519,307754.3192158972,280764.83678753587,281514.77974812494,283949.3963292261,289405.4403563851,294092.1426007013,298092.2448775922,301675.3561873069,304521.49937294447,306677.6710618275,307643.9602116557,307572.8283153015,307512.8200457129,280493.35369600035,281913.9989413001,283944.295845355,289174.00419563416,294160.38746294373,298245.35822685005,301711.7486974567,304615.79822931456,306644.4563153223,307662.31061868614,307532.0549122648,307637.81794544007,3
