0.1_100.0,0.1_200.0,0.1_300.0,0.1_400.0,0.1_500.0,0.1_600.0,0.1_700.0,0.1_800.0,0.1_900.0,0.1_1000.0,0.2_100.0,0.2_200.0,0.2_300.0,0.2_400.0,0.2_500.0,0.2_600.0,0.2_700.0,0.2_800.0,0.2_900.0,0.2_1000.0,0.3_100.0,0.3_200.0,0.3_300.0,0.3_400.0,0.3_500.0,0.3_600.0,0.3_700.0,0.3_800.0,0.3_900.0,0.3_1000.0,0.4_100.0,0.4_200.0,0.4_300.0,0.4_400.0,0.4_500.0,0.4_600.0,0.4_700.0,0.4_800.0,0.4_900.0,0.4_1000.0,0.5_100.0,0.5_200.0,0.5_300.0,0.5_400.0,0.5_500.0,0.5_600.0,0.5_700.0,0.5_800.0,0.5_900.0,0.5_1000.0,0.6_100.0,0.6_200.0,0.6_300.0,0.6_400.0,0.6_500.0,0.6_600.0,0.6_700.0,0.6_800.0,0.6_900.0,0.6_1000.0,0.7_100.0,0.7_200.0,0.7_300.0,0.7_400.0,0.7_500.0,0.7_600.0,0.7_700.0,0.7_800.0,0.7_900.0,0.7_1000.0,0.8_100.0,0.8_200.0,0.8_300.0,0.8_400.0,0.8_500.0,0.8_600.0,0.8_700.0,0.8_800.0,0.8_900.0,0.8_1000.0,0.9_100.0,0.9_200.0,0.9_300.0,0.9_400.0,0.9_500.0,0.9_600.0,0.9_700.0,0.9_800.0,0.9_900.0,0.9_1000.0,1.0_100.0,1.0_200.0,1.0_300.0,1.0_400.0,1.0_500.0,1.0_600.0,1.0_700.0,1.0_800.0,1.0_900.0,1.0_1000.0,load
457321.58457345236,457465.2673914954,456802.71826862276,456741.8939722484,456475.1929434824,456545.0948851856,456731.4249799805,456713.13381469285,457180.21608639695,456524.74862127035,463427.8866355451,463202.21762281377,463030.27961605793,462675.9306970253,463331.541227405,463530.8469392975,464781.3692023748,463167.61025382567,462877.6672462128,463643.2301986046,471287.90582787094,471265.90348998224,471716.587077693,471049.59399717074,470515.1787811599,470369.7033417965,470178.2301543384,470380.4986484673,470921.0097892678,470877.5490970999,481224.46435297123,468190.06040214276,468173.3815889936,467602.8049315447,466802.61898158625,462890.71318181115,462320.0467106468,460820.4498528664,459751.03772884427,459612.84111281397,461421.8153145773,460517.796799324,460541.45809606434,458774.6363478923,457180.0279805372,457114.28304722,456448.6635790799,456214.7763682267,456509.6779975014,456849.42813443247,456827.0772727898,456851.83446068666,457066.1266373946,456811.4834575168,456807.1905857511,456737.4446017498,456483.9206988047,459430.92191280937,456529.61838463374,456249.61593454384,456908.63485495426,456552.57592300954,457040.23410535266,457501.00069118314,457033.31177585764,456661.17481437745,457536.0681615942,456569.2312827748,456616.22229890374,456882.9474825531,457215.7235040146,457161.1703920677,456204.86984572466,456562.56065033027,456922.3942303503,457006.2178135068,456443.0291075848,456593.5344917058,456647.9686486326,456763.7918448126,456114.76963282254,457389.4650044922,459338.9838560022,456604.5787150357,456922.2881665398,457346.0397896043,456436.40541203046,456697.9549309336,456794.18057745224,457257.25772103755,456504.049444268,456191.9876270756,456603.2023533526,456684.5806230875,456797.2071514079,457304.20433655323,457367.52196988306,456783.7504810892,456915.99667526997,456825.07371780655,1
208250.0654756224,208276.28176409024,208525.69392211855,208464.31355718864,208182.36834946804,208074.1220189831,208348.7188129785,208234.61545450203,208297.14434011836,208155.49860701888,212947.17371389977,212623.16003025015,212701.43732346199,212284.82114640507,212883.72311136653,212747.50833721922,211780.87397969508,211480.07015538326,211372.52944815523,210968.00431105657,217043.82030493632,217068.36869186294,217078.03368828938,217011.41741419997,217213.7216514779,216534.9478829216,216999.92289707772,216561.07122265242,217115.01428943998,216984.7743638548,221289.21147210695,212215.19436697764,212506.06258104922,212528.7029754098,211783.21440350433,210649.3749172345,210673.28998801144,210129.65837071533,209766.96996918283,209918.53112409462,209665.61956036597,209336.66798522763,209602.66895139645,209107.8338724984,208546.79539701596,208589.45735136364,208011.95416521208,208448.20659474094,207909.3020520761,208284.96726553986,208430.39504769928,208474.26965099672,208405.97779689223,208316.54953285542,208435.3888569671,208559.90388334478,208272.38935424932,208349.9659674707,208365.82813661298,208444.6774015473,208111.1073875418,208216.97368678052,208313.7565848506,208228.16424562037,208427.65725191517,208018.99451231552,208297.42189042634,208333.4226833228,208144.585494781,208465.3721958725,208285.21738061876,208167.95903180755,208356.52180822677,208252.30584786113,208316.88181167358,208647.64032459114,208406.196063626,208204.31618374557,208190.94842065545,207948.61993080634,208367.96961654906,208459.35124486373,208297.44791727507,208529.18801608548,208101.0832182169,208251.35118727307,208308.63748370018,208184.52684890456,208421.60467697863,208430.57159310405,208006.3774381855,208465.5064836483,208643.9497195381,208459.8629772403,208330.50436863242,207833.2434742561,208392.88642914878,208101.04031330155,207917.6016432294,208194.8738271222,2
281679.2602613703,281857.37596065114,281897.85543694673,281658.38539418095,281787.57880072907,282166.1403519368,281850.97707452823,281925.90730794996,282031.3640453723,281599.35334420274,288157.485837074,287809.41690335685,288014.20414521085,287854.9315082247,288161.60070201417,288183.10485310596,287877.5546079492,287618.25069315836,287241.8246689346,287242.9507392433,288660.4811565464,288608.26947252074,288559.30864337424,288379.13118035253,288415.6088831288,288477.40167003876,288898.81854648254,288553.44158077444,288436.58691756683,288290.54174811876,287609.56458888954,284282.0478790512,284373.93926322786,284303.49044243136,284492.9158556694,283425.24483035854,283407.12538049655,283332.60724643257,283091.150037343,283019.37852779834,282694.0650356612,282316.52566406905,282340.77448999026,282088.0878029182,282058.1582228848,281956.53955284535,281821.50441668817,281822.1371973245,282021.82991479617,281975.83714866743,281995.1653824709,282014.3784104033,281840.34914449137,281959.41324952885,281934.30931868806,281925.6044492889,281971.14424071094,281831.07402009924,282228.8055452397,281758.0874748023,281861.0284814329,281947.2702434029,281966.90760843095,282078.8379967422,282105.30108413886,281917.0740694154,281866.62637221825,281822.4028605871,281600.0346952698,281962.1649304259,281822.3731402686,281935.9331609539,281838.91488088813,281703.2271848435,281841.8338727498,282161.3876280554,281947.3648828994,282185.35778682586,282047.6003318406,281827.9292986351,281984.38258695265,281936.9205446494,282118.46975055366,282172.5709856247,281749.9515315643,282099.38155721786,281829.09562553844,282120.4408334645,281954.3538526334,281801.70725891675,282188.54455838393,281824.2658282059,281865.1421785907,282103.7640041636,281813.68232446,281988.2247772987,281901.86266482447,282071.7030282653,281712.84830061113,282036.3000627192,3
