ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,date
7431615.227452569,7460918.004617191,7466428.6728784405,7478725.507618459,7476927.782599669,7451945.987366807,7494909.9822457265,7475502.054207586,7487034.586339919,2020-03-17
9360791.561182842,9386251.944038985,9322948.768058691,9390860.940105438,9343199.185091337,9437608.523894781,9471697.689038746,9465011.064248282,9392263.500220962,2020-03-18
6436990.557999266,6478654.255973783,6435319.205225279,6405138.250221711,6478503.637245117,6442570.1034447495,6386882.920847453,6458568.849920938,6516918.52096617,2020-03-19
1401184.3032883927,1389794.1988498396,1376819.4948494623,1406690.2348465743,1355949.700446438,1382287.0453352374,1380067.5727702149,1368216.336269709,1354078.8940423634,2020-03-20
5525245.979450201,5495928.869354531,5604846.786658853,5579017.989234327,5588956.066134001,5593479.63803466,5588828.1110795755,5590564.2537426725,5523684.96753569,2020-03-21
1613279.9983751578,1581230.8375820538,1598389.4195914748,1557953.1528809061,1557938.5352963717,1583199.5341062194,1612725.0434830377,1608986.8397023536,1571280.6868127028,2020-03-22
1390912.707024968,1290471.4524508812,1339775.2474247208,1332836.193882393,1343191.1178915023,1296944.397037585,1349173.3696321473,1341902.1955130827,1341075.3101739367,2020-03-23
1530668.875984059,1503312.4501870624,1536706.513052878,1511314.0926282934,1540151.1968795857,1551282.7114195218,1531662.35745055,1510872.2297272575,1536771.3675871715,2020-03-24
3290029.7406491926,3249801.309845751,3195601.6665527923,3220862.1073280973,3184890.9806826347,3216146.1332903258,3267677.0533988066,3258071.216057457,3178397.375129223,2020-03-25
5169962.853092014,5183414.47406789,5138229.149146551,5152750.632614718,5203628.92385884,5078644.565785121,5210067.407146487,5124804.866549183,5143193.039078506,2020-03-26
5918877.080874723,5928412.685387935,5990724.727250092,6002051.647119172,5885775.324292641,6019809.480544836,5860353.488115655,5925122.17982919,5914696.930771403,2020-03-27
1332700.9854387476,1292435.7788503417,1343640.620884465,1298946.0355981542,1294966.5703163922,1309319.8213614821,1312738.310034358,1335482.8893039736,1322344.2279175266,2020-03-28
15601309.089165404,15652887.942227166,15713420.810008142,15590219.699694209,15685632.233639404,15524454.544555407,15642943.597631011,15568725.930319007,15732710.165262021,2020-03-29
7929687.24436717,8052325.801243162,8050554.459992666,8045114.967671018,8052001.673630031,8043972.797354991,8060677.431989824,7951048.728817895,8055270.711933316,2020-03-30
14641040.765855335,14601898.897708878,14479579.47268575,14591266.451796867,14642806.077744808,14725139.543960297,14784319.77480796,14700089.391761977,14635452.368455954,2020-03-31
2806175.5543476287,2863732.7195607056,2865300.3920969153,2859498.173270504,2860188.1923008505,2840904.7639138834,2878766.064845124,2851468.343869374,2844219.7938005812,2020-04-01
13080499.057284813,12944992.047208242,13029302.808769481,13061101.913652617,13039945.495097497,12995287.10251945,12997346.024863515,12972141.61650391,13062345.550615748,2020-04-02
3337681.234525744,3393242.259786047,3395059.957747024,3324472.3975866265,3364258.2367325597,3280699.791578586,3358191.7060753563,3338270.6241134126,3340609.795741807,2020-04-03
5593493.21245016,5588764.082636806,5665397.490732793,5571978.090175974,5659886.444545621,5629005.254315419,5614572.291077511,5680345.678643437,5591859.88896849,2020-04-04
2012511.0412360388,2049382.5396496851,1997358.8852102768,2008302.5450480536,2056943.5712818573,2046855.7214265452,2044204.296651789,2053241.3188390173,2001237.5277074608,2020-04-05
3302289.378360507,3298282.287753571,3340713.5408926145,3336652.1986767324,3365655.919024004,3302890.2052561864,3307431.458890307,3327570.872202228,3327169.880145926,2020-04-06
1785032.9582896596,1813731.2215467175,1829556.50523159,1786254.723663649,1796237.1182490755,1777150.5913052177,1832762.2709805686,1795408.8174754549,1802885.7911284943,2020-04-07
2135231.093120969,2122749.9537394075,2151330.503027383,2126639.18274272,2155025.435506029,2192379.1385701075,2129343.657475836,2142325.2974841674,2147097.6702052257,2020-04-08
2614317.799412522,2577464.179706607,2550970.132681393,2578784.9364086976,2569793.458639551,2615239.3820437994,2609343.576633125,2575778.8165346426,2582620.539847057,2020-04-09
5882272.621539981,5791259.757473979,5828259.264083279,5861153.824581679,5803545.872981923,5796079.19550413,5763912.816402432,5800069.210322783,5780190.223342935,2020-04-10
6547671.547014094,6454418.185174349,6453034.063319385,6532514.38523687,6555671.919364253,6483074.704333667,6604697.906128008,6488813.19018602,6564673.144190022,2020-04-11
11622570.749693116,11840844.19921558,11710698.595536562,11762643.552152414,11832192.652780863,11756339.31865353,11712802.544443177,11682954.970211113,11727362.038149178,2020-04-12
6380984.937957017,6424979.506710953,6412017.6147184195,6416889.03004383,6515697.132944884,6372589.15839727,6529911.397192427,6330444.845812787,6363544.376221273,2020-04-13
1461812.3543892414,1470715.272120252,1486244.9548283909,1474255.4213501601,1452556.6647344995,1445666.1339809254,1461480.5831169877,1529459.7830186025,1451166.9556444625,2020-04-14
3719135.452908016,3535923.7465380076,3659586.149400946,3692774.375505984,3692204.2915747147,3641183.0782284727,3700305.9833166935,3646663.5322707454,3712124.9717594977,2020-04-15
4104633.246478635,4057588.9054771815,4059627.6466116705,4080528.414146772,4088291.3243349,4023808.7366664475,4170049.028723239,4012623.168407515,4092554.317336044,2020-04-16
4220553.614129077,4186988.0633178586,4214271.760156296,4195110.739542798,4140792.551557662,4174446.5662688324,4175201.9921431243,4192342.8821845017,4154751.900380459,2020-04-17
4302598.312199812,4324952.976109307,4246512.537717437,4276615.061758416,4318659.198161485,4285419.499811585,4262359.562480943,4199314.848224115,4308103.023405239,2020-04-18
9098716.541631337,8951065.850551346,9071250.000599535,9019283.004501715,8922177.552375231,9071983.39589041,8993849.74217612,9005503.662818056,9025524.912075493,2020-04-19
7007461.691858247,7107519.590905953,7067384.345573804,6904415.280470012,6990732.497623887,7027898.048012888,7056719.4859284,7073030.87662209,6920540.233324114,2020-04-20
1520889.1268511964,1609234.0612338895,1531383.510512012,1564510.4790801643,1554026.41122773,1583307.825155625,1552312.5753480797,1537999.5761746117,1579014.106137231,2020-04-21
1471887.5935469405,1470853.6023636195,1461636.498530504,1452047.0314017008,1437061.972278775,1474389.7928257235,1460273.961265979,1442537.762646269,1448897.825923351,2020-04-22
2758196.9721891377,2769851.502513848,2723907.1448181863,2728470.8270700253,2751381.5896013035,2714928.196809179,2735266.5505940225,2751206.7043499365,2743234.2204508446,2020-04-23
6600163.122511168,6617967.161799079,6633843.197650937,6660995.650371802,6730207.942038895,6688254.418605443,6593726.982275093,6729190.175171019,6820072.221368021,2020-04-24
4582798.54680778,4564476.315859925,4677604.829880516,4668546.098657477,4694376.068556378,4656942.58423973,4702406.802055329,4692786.3255819855,4676011.493770131,2020-04-25
4771433.864877607,4824518.721156508,4721405.352270721,4785590.8455405645,4766940.2691475395,4794749.555987045,4810686.290734043,4856802.551901331,4807077.327911726,2020-04-26
19688691.32163992,19884519.162092134,19940694.051765606,19808500.061833553,19790218.778562367,19977601.7202986,19883543.571197424,19982470.25381733,19986057.829576883,2020-04-27
4929672.735510781,5072032.094624792,4908554.92478307,5014836.872812352,4965028.899719106,4956727.361577747,4984277.9529632,5017776.680257995,5015443.882343965,2020-04-28
7913115.159946505,7948551.245234171,8020329.318668041,8044946.266280676,7979370.946509587,8027852.63678593,8014217.673146324,7980468.512494004,8074873.335368177,2020-04-29
2961617.3212181064,2888859.1602889327,2903919.345976261,2903628.960287107,2936338.7640248593,2905817.3037230736,2920720.215417182,2883472.7559614405,2963999.54679423,2020-04-30
863487.5931765833,898357.1178935894,863755.7403744967,846965.0737311628,868573.9145418436,864494.6057546323,872825.748033617,850555.7601961574,896970.9253099903,2020-05-01
2176746.917285409,2210863.4410734666,2204200.287544716,2211128.768278696,2225920.862560151,2201759.9510497684,2171295.5478731254,2227840.1643323367,2153381.3873258857,2020-05-02
1810034.4014974898,1828201.6822533607,1805158.0047940824,1817788.3733262497,1826912.1849558905,1804431.2024337389,1835877.117284046,1802428.5160306313,1795027.5191645545,2020-05-03
14475777.049218051,14388076.193335444,14240178.7182395,14312050.07822141,14228205.833030388,14358278.368168656,14209218.852335049,14373142.475059528,14197702.4553397,2020-05-04
2262157.1159932762,2256512.338115028,2253760.83207731,2285416.3722821465,2288293.108811595,2244457.178071852,2330695.9739771676,2252983.605192474,2324982.309461221,2020-05-05
