ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,date
11010.929148773934,11000.815923171938,11031.018712694104,11034.419031911322,11003.33349908375,11004.83052534126,10955.130001165357,10985.711587969936,10982.957691806632,2020-01-01
14273.250117358097,14212.888371487732,14250.383712887633,14254.35975383053,14246.3204597094,14260.325354359116,14268.252148360132,14253.57029714435,14294.415017088128,2020-01-02
7385.399420287114,7363.886338815885,7366.4276406169365,7370.685656371911,7375.145088418545,7353.976256186209,7422.666898089058,7354.4916907084025,7402.906108399953,2020-01-03
11670.25306348831,11712.84441396562,11682.138201642038,11747.997088813581,11701.262684581121,11767.519480099027,11741.5215653991,11776.204085578818,11703.268909884879,2020-01-04
7615.282949796762,7561.584214853362,7572.6507172879965,7565.670730587649,7602.233496418675,7591.014405211593,7540.163371125496,7606.622251769316,7587.479785905033,2020-01-05
7907.783069533039,7892.647878063898,7881.682629876656,7900.99710120436,7892.146996600956,7856.486506273104,7882.897333369294,7872.617384938623,7870.6208365151415,2020-01-06
8851.816964644402,8828.291604212425,8793.156478086552,8804.09323617037,8770.061195273953,8791.036627169286,8774.111311373726,8810.0167477152,8792.921898402728,2020-01-07
10444.863847452743,10441.831994038472,10461.16809304094,10508.56866307092,10425.284252623727,10407.001486188025,10473.83201645767,10448.597489905353,10426.15674504998,2020-01-08
9702.102187077819,9623.678316991416,9683.4341180246,9615.401997410943,9626.417588527665,9635.56534329437,9689.118373852645,9617.232669686095,9700.942467113371,2020-01-09
8252.813180751491,8239.547011338107,8245.608971904934,8286.398215010138,8284.713854543656,8258.554008921046,8251.708891142776,8251.716651952362,8254.663392368515,2020-01-10
25755.312424375064,25690.29718162113,25667.161150618103,25657.237300291217,25669.017667725155,25565.0901302669,25700.43871769528,25625.805640979746,25702.72228480524,2020-01-11
13815.950946823838,13817.506598835495,13790.874706902605,13763.317286140571,13808.035574320407,13800.511282704667,13755.699879314465,13812.485016563238,13872.454543497888,2020-01-12
16278.994746630602,16284.757993621974,16302.460688474384,16278.134925485065,16277.781859720024,16274.213512574508,16307.526753706848,16260.652128400401,16253.358179512104,2020-01-13
10235.40717987756,10270.023230735296,10238.756066214428,10224.857919090562,10258.35986025417,10204.404435057562,10251.334222812247,10234.142683521892,10301.431388389741,2020-01-14
22280.2119200914,22284.32109113164,22267.936406992758,22302.250506955454,22293.2184727372,22296.329096884463,22301.283886812213,22305.66903241913,22239.479199981193,2020-01-15
12947.33105372503,12968.416149632714,12998.372402369892,13006.253798647162,12989.600431556135,12989.225333113742,13022.686585080111,13032.858241940397,13048.62543743721,2020-01-16
9379.540215980796,9380.975772598887,9384.994810267246,9436.577036235742,9342.70328729103,9414.33977533333,9406.425987394734,9338.879890924269,9398.220120475424,2020-01-17
8352.110877942612,8323.613966959056,8275.964678010254,8360.019551283913,8295.793115827051,8331.642721098657,8263.390724640789,8349.916272696346,8259.595366856738,2020-01-18
15448.318197499733,15456.056875589506,15471.5472778289,15477.889199456473,15382.445660794241,15434.917145241026,15399.655479061985,15459.279110630667,15461.465170209724,2020-01-19
10015.543926572644,9997.494249742,10018.197683467459,9971.94445908905,10035.786206551287,10003.94355084043,9948.006056900598,10018.150663599707,10040.506282573866,2020-01-20
13902.26584303213,13955.033536689383,13928.084547044362,13847.080230727213,13912.444209413345,13923.844780610742,13925.40670571576,13979.977298029256,13908.17143087109,2020-01-21
14673.775044744532,14661.633225866342,14715.358116868594,14709.598173574235,14662.534582879816,14584.39242406724,14714.634685158251,14662.41009268425,14659.772805756062,2020-01-22
13056.365837703303,13100.086813327714,13133.697091170065,13098.932277039867,13044.138694794377,13109.137951138906,13109.407677242465,13104.26490778571,13135.63336340942,2020-01-23
11968.7757717681,12036.862593959513,12016.806946661012,12067.024248215195,11988.977672232042,12005.886530190794,11939.64943767752,12006.915318970563,12058.036128036834,2020-01-24
11041.585945226825,11030.703161482423,11032.81135276148,11074.39545108416,11067.223219782196,11072.953511768505,11020.928168057855,11108.663445362801,11042.585124944379,2020-01-25
9730.702381337896,9686.008514915962,9698.591460787933,9670.858134235108,9682.904362553749,9689.392740781394,9669.201627178172,9704.082324447629,9702.10154542838,2020-01-26
10247.174258413332,10277.601037683993,10290.202799133594,10248.32532978589,10247.510806305067,10230.322808827113,10257.255602391595,10196.431762856024,10306.353148987686,2020-01-27
21818.67270852878,21828.88177145767,21801.833641165595,21846.173251692526,21777.970802596967,21783.73496142818,21794.16687215617,21871.148530676935,21833.908667678796,2020-01-28
15398.359055884355,15501.440327665867,15468.050001792,15557.72330832008,15474.686458994847,15493.445029553364,15522.50903935517,15508.145414127615,15466.77806404317,2020-01-29
19384.43709626929,19346.99659852108,19327.38992451195,19341.084781866462,19321.751133472128,19355.965659119007,19368.950475464455,19356.96152964866,19437.849156667897,2020-01-30
19910.774118469948,19983.066354561295,19958.64690635511,19922.949688400135,19881.756700481543,19945.943295916113,19943.227785754898,19942.02984184204,19908.81645414201,2020-01-31
19588.815522783923,19719.03631746507,19628.762075758743,19633.801988587657,19696.234769610724,19648.568515714596,19656.278056826257,19616.396875714978,19625.165587424966,2020-02-01
20343.237745692142,20277.143137423038,20451.70179743756,20392.130532844963,20380.20442043506,20354.72744561819,20340.367936027564,20395.794665222427,20299.714060032933,2020-02-02
17761.469735019597,17693.154616321335,17709.502175760786,17735.360002189802,17699.26566415496,17730.771686733293,17704.721867511213,17747.862647182938,17750.386801542736,2020-02-03
12079.287677273182,12075.265302617669,11971.135399412959,11996.785055413899,12023.574076075385,11984.084775604098,12021.596959943521,12046.880924182495,12095.18302449844,2020-02-04
15558.47889067498,15546.999235828716,15566.53798983418,15528.108926465478,15529.910230669384,15566.519479236546,15559.194927958402,15534.535662198581,15513.638157922425,2020-02-05
14878.089748150787,14804.614538283533,14863.665082822752,14857.419727019786,14845.412058350312,14895.489995739537,14871.501413878914,14837.47086126364,14885.089334460647,2020-02-06
15072.751485705274,14986.979198120242,15075.385985608462,15065.938435739557,15059.606130237988,15047.29033684173,15073.604792283488,15053.148792855949,15017.178876117954,2020-02-07
13451.68496285748,13518.167310750423,13514.196208789497,13537.306476648415,13507.175400556138,13587.70802865393,13575.51559561828,13571.760869153934,13530.355810102654,2020-02-08
12018.111647520609,12013.703854074833,11976.734431096878,11994.007441161355,11975.076477588196,11998.840576892017,12004.788259396384,11970.73695413747,11933.274044492866,2020-02-09
13981.728353284858,13993.189948625364,14002.188961167767,13956.95469214484,13983.625205436412,13999.971770466833,13995.735283595806,13984.714697360525,13967.253520141763,2020-02-10
17058.88000154095,17104.1598256514,17056.370540474923,17036.11514005181,17154.66190067693,17098.22432698786,17067.643176924415,17064.304407994125,17087.11159174319,2020-02-11
17827.73284741194,17788.87076422197,17845.277592084276,17898.908927189852,17819.300281002455,17883.825337552636,17876.931360393464,17855.80373396322,17793.665413624218,2020-02-12
11379.911584310477,11290.544514654553,11340.708352752703,11389.230125570512,11361.786251849215,11352.73588178021,11334.157169446642,11390.070613383437,11409.592922329963,2020-02-13
42149.350587604786,42178.14470456898,42117.84842290588,42159.89222930899,42097.73255041383,42027.14238830568,42178.1887515373,42102.42960016711,42080.38351131701,2020-02-14
28661.737870362533,28632.095312776473,28620.20329735419,28577.559139236313,28623.476494085484,28623.882626565584,28555.2987033666,28644.93101632723,28581.63480388143,2020-02-15
45783.00123518792,45848.84287694616,45792.184186842656,45812.419595557454,45833.19468096877,45834.602200674475,45887.61676425736,45787.558966448465,45844.373045930515,2020-02-16
11534.58411472752,11507.139835123113,11527.195367542376,11509.32026311222,11518.79413406219,11538.535277441048,11524.735952256573,11481.415293029184,11500.544104173941,2020-02-17
9923.135942658659,9933.168223011657,9935.848884925024,9916.422719818247,9917.027767644784,9959.738250440934,9982.271833148336,9952.976371935112,9976.638706131582,2020-02-18
6529.375989003203,6526.118796411972,6552.883524540967,6537.913361864238,6538.640139059552,6555.264312120358,6540.363513312941,6537.016584779913,6551.767553475252,2020-02-19
6853.301082516014,6793.207223865872,6844.1575813396175,6852.460488114656,6873.227935397111,6818.7345561835455,6825.735634214455,6836.729251047974,6835.779930817663,2020-02-20
6885.466604309932,6863.95500332136,6887.899942689407,6856.640951033868,6907.272964394836,6856.2836224279545,6897.99981254827,6903.865613075944,6881.680061705812,2020-02-21
7058.457781678063,7083.741160586188,7025.047319534953,7060.452420391669,7068.416513057593,7050.3329915831,7045.551222688018,7080.943279711571,7063.891437808221,2020-02-22
25052.234661804774,25000.05753210978,25013.46266602076,24937.241419476097,25011.6098231891,24979.440223944046,24978.38949657477,24983.239809785657,24997.74687475621,2020-02-23
25158.719003378665,25203.20302442872,25170.83392091828,25170.464126866857,25205.18912807436,25170.91606226718,25217.867361449873,25165.87151751778,25169.744268989514,2020-02-24
30059.536631939358,30139.486328899628,30118.905922940972,30034.634424070045,30129.854853555524,30122.188790436365,30103.489322512232,30047.923299377868,30098.292669557242,2020-02-25
13649.612762420044,13605.9449135632,13647.709385528407,13634.955820756793,13652.861095099195,13632.865229457591,13611.025020976396,13606.33213308956,13608.387546561162,2020-02-26
7401.837848652131,7437.08736313287,7376.034842244501,7421.9060004033445,7386.486119579526,7387.405492846194,7421.086862570572,7422.021062481623,7418.379451279281,2020-02-27
40228.02717039957,40143.649895960705,40197.26460260762,40233.28985744736,40167.305335283585,40135.92783294556,40178.514864145094,40267.96529709128,40216.1182327447,2020-02-28
9587.151842119416,9568.579277653413,9540.645577547966,9568.204533476779,9482.381666633746,9506.007303696262,9550.975942827394,9545.813007602197,9505.679717058249,2020-02-29
25042.211536415107,25029.409514230014,25093.407600191607,25079.8051664865,25012.4435167862,25050.274752826248,25005.62507102305,25071.99035126445,25065.65227724352,2020-03-01
25195.788821792445,25202.261171296326,25173.48712984403,25213.587087197066,25160.74244964818,25252.316397515744,25223.766065619984,25258.89901097185,25210.395955996268,2020-03-02
30146.111494289693,30067.632539790775,30202.97994510788,30105.457795704522,30149.625663631938,30176.579867143155,30081.638233886533,30126.100543427754,30178.6534099973,2020-03-03
13662.94850419046,13647.564889379732,13605.599914446007,13645.364046139734,13630.915715084773,13656.33167027838,13642.360605498377,13676.994441632529,13668.000168730217,2020-03-04
7436.865161702447,7395.4244351967955,7438.824706903132,7404.553054166558,7420.813451121414,7455.72077762935,7463.353775249561,7428.715681949628,7410.16387293236,2020-03-05
40172.9949323534,40231.59619153402,40233.33209750807,40287.4024363297,40235.739579908375,40271.879861128014,40248.01585417772,40178.16193767455,40244.62468546392,2020-03-06
9523.154018766432,9556.87248659558,9544.849597303439,9498.606684078519,9533.222029420856,9553.835325551529,9545.475381262944,9514.480326219038,9564.013776276193,2020-03-07
10604.129981939737,10589.555328763976,10601.718912256567,10580.498316093019,10633.547094604603,10611.300701271746,10600.892575712318,10656.823406762047,10602.839006558805,2020-03-08
34268.50136953169,34302.32400911332,34285.83473453061,34306.98003422136,34272.611356930865,34230.04639933277,34268.08575758383,34271.10806667518,34262.363023383215,2020-03-09
46837.89778755794,46851.45258951169,46848.127241828995,46877.411494072156,46888.67123796046,46764.11229359141,46825.04696696376,46881.25097604791,46794.25219252195,2020-03-10
