ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,solar
3474.087258492066,3477.036969061334,3475.097226518667,3474.1594946691944,3476.324128077208,3473.015563505803,3474.2156841076553,3475.3341519343526,3475.797877076073,101_PV_1
3556.776368867444,3556.5882549457897,3556.4646760735827,3555.8458674082362,3554.9168302075636,3551.507201057102,3555.250022335995,3555.5525048988966,3554.793266432501,101_PV_2
3470.1743271402943,3473.9188709811287,3471.7134421487663,3473.569103827632,3469.102663618039,3471.894618751397,3474.0847297085684,3473.6724569118337,3472.508984448957,101_PV_3
3337.0947528665715,3336.691073962251,3337.698961283324,3338.67816570223,3337.064034139069,3338.2756671258076,3337.8849608497676,3337.351442079914,3336.395290735425,101_PV_4
3160.4695136335367,3157.696795606197,3159.639107271343,3160.21868430157,3157.3669010563854,3159.2398655113734,3158.9118674416854,3157.7771753376323,3160.333901728209,102_PV_1
3517.1460651044645,3516.2279945406035,3518.8862489399617,3519.7318333763515,3516.76888281542,3517.5314726119154,3519.628910671758,3516.5002230730915,3515.9782380961296,102_PV_2
7408.787498922017,7420.278165754107,7412.9690220890525,7418.184964502011,7411.722931648155,7417.727501581928,7418.705551972821,7408.412792480126,7417.028590384922,103_PV_1
3284.679096286711,3283.887943413768,3283.7739904575587,3284.220388530424,3285.130754568549,3282.6488050609255,3284.262435789784,3284.967882722247,3283.0385854457327,104_PV_1
42774.27814858252,42781.19467621197,42772.33861685114,42779.55279817281,42769.6378126337,42756.55249560381,42780.35876397906,42753.7372445468,42785.74726472441,113_PV_1
149.23236261631124,149.1365575754445,149.27371827308568,149.28373788129733,149.07170078291017,149.32339529631108,149.276121186872,149.27693041609083,149.08455288121917,118_RTPV_1
85.50955080125165,85.47366793689967,85.48169435212125,85.4493096045073,85.4293304512252,85.4170403198316,85.4704428821732,85.36639348096773,85.44678549917619,118_RTPV_10
