ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,wind
5610197.870222046,5605080.794598939,5613306.175145791,5605574.384271812,5613881.856630809,5614595.314633093,5608660.032722174,5604996.946616042,5609018.930528985,122_WIND_1
7414139.679972693,7407165.238302509,7405570.962186914,7412169.769074265,7413940.839184144,7421212.127161933,7420407.169371612,7415381.703277941,7414672.600920271,303_WIND_1
235613.2530389956,235594.20074797678,235406.7368935588,235193.29461699908,235464.24226849774,235279.40472011716,235434.8400039303,235348.25946128537,235378.2255322403,309_WIND_1
6416025.11899649,6411317.8299967265,6412666.081231864,6414237.89720145,6416087.212460585,6410985.69939782,6411002.216739192,6407136.509661519,6417853.78819763,317_WIND_1
